classification,uadc_account_code,uadc_account_name,ledgerexplorer_account_code,ledgerexplorer_account_name,statement,normal_balance,candidate_supported
UADC_ONLY,6120,Demo Professional Fees,,,PL,D,YES
UADC_ONLY,6130,Demo Training,,,PL,D,YES
UADC_ONLY,6140,Demo Vehicle Expense,,,PL,D,YES
UADC_ONLY,6150,Demo Software Subscription,,,PL,D,YES
UADC_ONLY,6160,Demo Shipping,,,PL,D,YES
UADC_ONLY,6170,Demo Miscellaneous Expense,,,PL,D,YES
UADC_ONLY,7000,Demo Taxes and Dues,,,PL,D,YES
UADC_ONLY,7010,Demo Corporate Tax,,,PL,D,YES
UADC_ONLY,7020,Demo Consumption Tax Expense,,,PL,D,YES
UADC_ONLY,8000,Demo Suspense,,,BS,D,YES
UADC_ONLY,8010,Demo Clearing,,,BS,C,YES
LEDGEREXPLORER_ONLY,,,111,現金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,112,小口現金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,121,当座預金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,131,普通預金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,139,納税準備預金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,140,貯蓄預金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,141,通知預金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,142,その他の流動性預金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,143,定期預金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,148,定期積金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,149,その他の固定性預金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,150,受取手形,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,151,電子記録債権,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,152,売掛金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,159,貸倒引当金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,161,有価証券,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,171,商品,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,175,製品,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,176,原材料,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,177,仕掛品,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,178,貯蔵品,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,180,未収収益,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,181,前渡金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,182,立替金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,183,短期貸付金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,184,未収入金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,185,前払費用,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,186,繰延税金資産,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,187,仮払金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,189,営業外電子記録債権,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,191,仮払消費税等,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,197,未収消費税等,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,199,貸倒引当金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,211,建物,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,212,建物付属設備,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,213,構築物,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,214,機械装置,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,215,車両運搬具,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,216,工具器具備品,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,221,土地,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,222,建設仮勘定,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,229,減損損失累計額,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,231,借地権,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,232,電話加入権,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,241,投資有価証券,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,242,出資金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,243,長期貸付金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,244,差入保証金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,245,長期前払費用,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,246,繰延税金資産,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,248,保険積立金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,249,敷金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,259,貸倒引当金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,301,支払手形,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,306,電子記録債務,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,312,買掛金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,320,営業外電子記録債務,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,321,短期借入金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,322,未払金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,323,未払費用,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,324,前受金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,325,前受収益,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,326,預り金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,327,未払事業税等,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,328,未払法人税等,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,329,繰延税金負債,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,330,未払配当金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,331,仮受金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,333,割引電子記録債権,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,334,裏書電子記録債権,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,335,仮受消費税等,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,336,未払消費税等,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,337,賞与引当金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,338,割引手形,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,339,裏書手形,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,341,長期借入金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,342,繰延税金負債,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,359,退職給付引当金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,360,その他引当金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,411,資本金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,421,資本準備金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,431,利益準備金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,432,別途積立金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,437,繰越利益剰余金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,441,土地再評価差額金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,442,その他有価証券評価差額金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,443,自己株式,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,511,売上高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,512,電子取引売上高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,513,電子取引以外売上高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,521,売上値引戻り高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,523,売上割戻し高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,524,電子取引売上値引戻り高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,525,電子取引以外売上値引戻り高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,526,電子取引売上割戻し高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,527,電子取引以外売上割戻し高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,531,期首商品棚卸高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,541,商品仕入高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,542,電子取引商品仕入高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,543,電子取引以外商品仕入高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,551,仕入値引戻し高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,553,仕入割戻し高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,554,電子取引仕入値引戻し高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,555,電子取引以外仕入値引戻し高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,556,電子取引仕入割戻し高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,557,電子取引以外仕入割戻し高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,561,期末商品棚卸高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,571,期首製品棚卸高,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,711,役員報酬,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,712,給与手当,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,713,賞与,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,714,退職給付費用,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,721,雑給,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,722,退職金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,723,法定福利費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,724,福利厚生費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,726,旅費交通費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,727,通信費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,728,販売手数料,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,731,運賃,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,732,広告宣伝費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,733,交際接待費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,734,会議費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,735,燃料費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,736,水道光熱費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,737,消耗品費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,738,租税公課,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,739,新聞図書費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,740,車両費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,741,支払手数料,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,742,諸会費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,743,寄付金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,744,リース料,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,745,外注費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,746,支払報酬,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,747,地代家賃,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,751,賃借料,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,752,保険料,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,753,修繕維持費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,754,事務用消耗品費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,763,減価償却費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,781,貸倒損失,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,791,雑費,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,811,受取利息,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,812,受取配当金,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,815,有価証券売却益,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,818,仕入割引,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,819,雑収入,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,821,支払利息,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,823,有価証券売却損,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,824,手形売却損,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,825,電子記録債権売却損,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,829,貸倒損失,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,859,売上割引,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,899,雑損失,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,911,固定資産売却益,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,916,退職給付引当金戻入額,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,917,賞与引当金戻入額,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,918,投資有価証券売却益,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,919,償却債権取立益,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,921,固定資産売却損,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,924,固定資産除却損,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,927,投資有価証券売却損,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,928,減損損失,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,932,法人税等調整額,,,NOT_REQUIRED
LEDGEREXPLORER_ONLY,,,999,諸口,,,NOT_REQUIRED
