C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45
1,2,3,,,,,EntryDetail,,,,,,,3,請求書BILL-202104-002に係る買掛金,50000,JPY,C,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10B100040,買掛金,liability,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S002,counterparty,ひかり文具株式会社,V,,,,,
1,2,3,,,,1,OriginatingDocument,,,,,,,,,,,,,,,,,,,,,,,voucher,BILL-202104-002,2021-04-05,vendor,S002,,,,,,,,,,
1,3,,,,,,EntryHeader,2021-04-10,standard,J-003,4月分給与及び法定福利費,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,,,,,EntryDetail,,,,,,,1,給与計上,80000,JPY,D,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10E200370,給料手当,expense,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,D02,department,営業部,O,,,,,
1,3,2,,,,,EntryDetail,,,,,,,2,法定福利費計上,20000,JPY,D,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,2,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10E200540,法定福利費,expense,,,,,,,,,,,,,,,,,,,,,,,
1,3,2,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,D02,department,営業部,O,,,,,
1,3,3,,,,,EntryDetail,,,,,,,3,普通預金から支払,100000,JPY,C,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10A100020,普通預金,asset,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,1,,,Subaccount,,,,,,,,,,,,,,,3,普通預金,account-subaccount,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,EntryHeader,2021-04-12,standard,J-004,商品仕入及び配送費 請求書 BILL-202104-004,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,,,,,EntryDetail,,,,,,,1,商品仕入,70000,JPY,D,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10E100130,仕入高,expense,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,D01,department,企画部,O,,,,,
1,4,1,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,S003,counterparty,みどり商事株式会社,V,,,,,
1,4,1,,,,,DetailJob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,P01,春季販売企画,,
1,4,2,,,,,EntryDetail,,,,,,,2,配送費,30000,JPY,D,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10E200870,荷造運賃,expense,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,D01,department,企画部,O,,,,,
1,4,3,,,,,EntryDetail,,,,,,,3,請求書BILL-202104-004に係る買掛金,60000,JPY,C,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,3,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10B100040,買掛金,liability,,,,,,,,,,,,,,,,,,,,,,,
1,4,3,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S003,counterparty,みどり商事株式会社,V,,,,,
1,4,3,,,,1,OriginatingDocument,,,,,,,,,,,,,,,,,,,,,,,voucher,BILL-202104-004,2021-04-12,vendor,S003,,,,,,,,,,
1,4,4,,,,,EntryDetail,,,,,,,4,普通預金から支払,40000,JPY,C,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10A100020,普通預金,asset,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,1,,,Subaccount,,,,,,,,,,,,,,,3,普通預金,account-subaccount,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,EntryHeader,2021-04-14,standard,J-005,標準税率・軽減税率商品の仕入 請求書 BILL-202104-005,164000,164000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,1,,,,,EntryDetail,,,,,,,1,標準税率及び軽減税率の商品仕入,164000,JPY,D,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,1,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10E100130,仕入高,expense,,,,,,,,,,,,,,,,,,,,,,,
1,5,1,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,D02,department,営業部,O,,,,,
1,5,1,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,S004,counterparty,こもれび食品株式会社,V,,,,,
1,5,1,,,1,,DetailTax,,,,,,,,,,,,,,,,,,標準税率対象,10000,100000,0.10,S,,,,,,,,,,,,,,VAT,Purchase
1,5,1,,,2,,DetailTax,,,,,,,,,,,,,,,,,,軽減税率対象,4000,50000,0.08,AA,,,,,,,,,,,,,,VAT,Purchase
1,5,2,,,,,EntryDetail,,,,,,,2,請求書BILL-202104-005に係る買掛金,164000,JPY,C,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,2,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10B100040,買掛金,liability,,,,,,,,,,,,,,,,,,,,,,,
1,5,2,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S004,counterparty,こもれび食品株式会社,V,,,,,
1,5,2,,,,1,OriginatingDocument,,,,,,,,,,,,,,,,,,,,,,,voucher,BILL-202104-005,2021-04-14,vendor,S004,,,,,,,,,,
1,6,,,,,,EntryHeader,2021-04-15,standard,J-006,請求書 INV-202103-001 一部入金 入金票 RCPT-202104-001,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,1,,,,,EntryDetail,,,,,,,1,一部入金,100000,JPY,D,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,1,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10A100020,普通預金,asset,,,,,,,,,,,,,,,,,,,,,,,
1,6,1,1,1,,,Subaccount,,,,,,,,,,,,,,,3,普通預金,account-subaccount,,,,,,,,,,,,,,,,,,,,
1,6,2,,,,,EntryDetail,,,,,,,2,請求書INV-202103-001の一部清算,100000,JPY,C,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,2,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10A100090,売掛金,asset,,,,,,,,,,,,,,,,,,,,,,,
1,6,2,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,C001,counterparty,あおぞら商店,C,,,,,
1,6,2,,,,1,OriginatingDocument,,,,,,,,,,,,,,,,,,,,,,,receipt,RCPT-202104-001,2021-04-15,customer,C001,,,,,,,,,,
1,7,,,,,,EntryHeader,2021-04-20,standard,J-008,商品売上（掛） 請求書 INV-202104-008,120000,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,1,,,,,EntryDetail,,,,,,,1,請求書INV-202104-008に係る売掛金,120000,JPY,D,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,1,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10A100090,売掛金,asset,,,,,,,,,,,,,,,,,,,,,,,
1,7,1,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,C002,counterparty,つばさ商会,C,,,,,
1,7,1,,,,1,OriginatingDocument,,,,,,,,,,,,,,,,,,,,,,,invoice,INV-202104-008,2021-04-20,customer,C002,,,,,,,,,,
1,7,2,,,,,EntryDetail,,,,,,,2,商品売上,120000,JPY,C,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,2,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10D100100,商品売上高,income,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,,,EntryHeader,2021-04-25,standard,J-009,請求書 BILL-202103-001 支払 支払票 PAY-202104-001,200000,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1,,,,,EntryDetail,,,,,,,1,請求書BILL-202103-001の清算,200000,JPY,D,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10B100040,買掛金,liability,,,,,,,,,,,,,,,,,,,,,,,
1,8,1,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S001,counterparty,さくら仕入株式会社,V,,,,,
1,8,1,,,,1,OriginatingDocument,,,,,,,,,,,,,,,,,,,,,,,payment-other,PAY-202104-001,2021-04-25,vendor,S001,,,,,,,,,,
1,8,2,,,,,EntryDetail,,,,,,,2,普通預金から支払,200000,JPY,C,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,2,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10A100020,普通預金,asset,,,,,,,,,,,,,,,,,,,,,,,
1,8,2,1,1,,,Subaccount,,,,,,,,,,,,,,,3,普通預金,account-subaccount,,,,,,,,,,,,,,,,,,,,
