schema_id,schema_version,structured_column,ordinal,role,hmd_sequence,hmd_level,hmd_type,name_ja,name_en,datatype,multiplicity,owner_class,semantic_path,binding_path,population_rule,required,note
abc-shoten-gl-cor-april-v3,3.0.0,C11,11,value-property,0150,3,A,仕訳識別子,Entry ID,String,0..1,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryID,owner-only,false,次元値ではない
abc-shoten-gl-cor-april-v3,3.0.0,C12,12,value-property,0151,3,A,仕訳摘要,Entry Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDescription,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDescription,owner-only,false,伝票摘要
abc-shoten-gl-cor-april-v3,3.0.0,C13,13,value-property,0156,3,A,借方合計,Total Debits,Monetary,0..1,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader.cor_TotalDebits,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_TotalDebits,owner-only,false,EntryHeader行だけ
abc-shoten-gl-cor-april-v3,3.0.0,C14,14,value-property,0157,3,A,貸方合計,Total Credits,Monetary,0..1,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader.cor_TotalCredits,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_TotalCredits,owner-only,false,EntryHeader行だけ
abc-shoten-gl-cor-april-v3,3.0.0,C15,15,value-property,0177,4,A,明細行番号,Line Number,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_LineNumber,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_LineNumber,owner-only,false,元明細順
abc-shoten-gl-cor-april-v3,3.0.0,C16,16,value-property,0381,4,A,明細摘要,Detail Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailDescription,owner-only,false,伝票摘要と区別
abc-shoten-gl-cor-april-v3,3.0.0,C17,17,value-property,0382,4,A,金額,Monetary Amount,Monetary,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_MonetaryAmount,owner-only,false,非負金額
abc-shoten-gl-cor-april-v3,3.0.0,C18,18,value-property,0383,4,A,通貨,Currency,QName,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_Currency,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_Currency,owner-only,false,本サンプルはJPY
abc-shoten-gl-cor-april-v3,3.0.0,C19,19,value-property,0385,4,A,借貸区分,Debit/Credit Indicator,Token,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DebitCreditIndicator,owner-only,false,D又はC。occurrence識別に使用しない
abc-shoten-gl-cor-april-v3,3.0.0,C20,20,value-property,0361,5,A,勘定科目コード,Account Number,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailAccountIdentifier[C4].cor_AccountNumber,owner-only,false,国税庁/e-Tax標準科目の基礎コード。完全キーはaccount-subaccountを含めACCOUNT_CODE_MAPPINGで解決
abc-shoten-gl-cor-april-v3,3.0.0,C21,21,value-property,0362,5,A,勘定科目名,Account Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailAccountIdentifier[C4].cor_AccountDescription,owner-only,false,公開用日本語架空名称
abc-shoten-gl-cor-april-v3,3.0.0,C22,22,value-property,0363,5,A,主勘定科目区分,Account Classification,Token,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountClassification,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailAccountIdentifier[C4].cor_AccountClassification,owner-only,false,帳票分類
abc-shoten-gl-cor-april-v3,3.0.0,C23,23,value-property,0377,6,A,補助科目コード,Subaccount ID,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailAccountIdentifier[C4].cor_Subaccount[C5].cor_SubaccountID,owner-only,false,科目識別に必要なaccount-subaccountだけ。部門・取引先・プロジェクトは禁止
abc-shoten-gl-cor-april-v3,3.0.0,C24,24,value-property,0376,6,A,補助科目名,Subaccount Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailAccountIdentifier[C4].cor_Subaccount[C5].cor_SubaccountDescription,owner-only,false,科目識別に必要なaccount-subaccountだけ。部門・取引先・プロジェクトは禁止
abc-shoten-gl-cor-april-v3,3.0.0,C25,25,value-property,0378,6,A,補助科目種別,Type,Token,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailAccountIdentifier[C4].cor_Subaccount[C5].cor_Type,owner-only,false,科目識別に必要なaccount-subaccountだけ。部門・取引先・プロジェクトは禁止
abc-shoten-gl-cor-april-v3,3.0.0,C26,26,value-property,0334,5,A,税説明,Tax Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxDescription,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailTax[C6].cor_TaxDescription,owner-only,false,
abc-shoten-gl-cor-april-v3,3.0.0,C27,27,value-property,0335,5,A,税額,Amount of Taxes,Monetary,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailTax[C6].cor_AmountofTaxes,owner-only,false,
abc-shoten-gl-cor-april-v3,3.0.0,C28,28,value-property,0336,5,A,課税標準,Basis for Taxation,Monetary,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_BasisforTaxation,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailTax[C6].cor_BasisforTaxation,owner-only,false,
abc-shoten-gl-cor-april-v3,3.0.0,C29,29,value-property,0337,5,A,税率,Tax Percentage Rate,Decimal,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxPercentageRate,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailTax[C6].cor_TaxPercentageRate,owner-only,false,百分率表記
abc-shoten-gl-cor-april-v3,3.0.0,C30,30,value-property,0338,5,A,税区分,Tax Category,Token,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailTax[C6].cor_TaxCategory,owner-only,false,
abc-shoten-gl-cor-april-v3,3.0.0,C31,31,value-property,0197,5,A,文書種別,Document Type,Token,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument.taf_DocumentType,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_OriginatingDocument[C7].taf_DocumentType,owner-only,false,HMD列挙値invoice、voucher、receipt、payment-otherだけを使用
abc-shoten-gl-cor-april-v3,3.0.0,C32,32,value-property,0198,5,A,文書番号,Document Number,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument.taf_DocumentNumber,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_OriginatingDocument[C7].taf_DocumentNumber,owner-only,false,
abc-shoten-gl-cor-april-v3,3.0.0,C33,33,value-property,0199,5,A,文書日付,Document Date,Date,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument.taf_DocumentDate,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_OriginatingDocument[C7].taf_DocumentDate,owner-only,false,
abc-shoten-gl-cor-april-v3,3.0.0,C34,34,value-property,0200,5,A,文書識別子種別,Document Identifier Type,Token,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument.taf_DocumentIdentifierType,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_OriginatingDocument[C7].taf_DocumentIdentifierType,owner-only,false,HMD列挙値customer又はvendor
abc-shoten-gl-cor-april-v3,3.0.0,C35,35,value-property,0201,5,A,文書識別子コード,Document Identifier Code,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument.taf_DocumentIdentifierCode,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_OriginatingDocument[C7].taf_DocumentIdentifierCode,owner-only,false,文書に対応する顧客又は仕入先コード。open item IDではない
abc-shoten-gl-cor-april-v3,3.0.0,C36,36,occurrence-coordinate,0219,4,C,明細識別参照occurrence,Detail Identifier Reference occurrence,Integer,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailIdentifierReference[C36],owner-only,false,親EntryDetail内で1から。業務コードを埋め込まない
abc-shoten-gl-cor-april-v3,3.0.0,C37,37,value-property,0220,5,A,識別コード,Identifier Code,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference.cor_IdentifierCode,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailIdentifierReference[C36].cor_IdentifierCode,owner-only,false,部門又は取引先コード
abc-shoten-gl-cor-april-v3,3.0.0,C38,38,value-property,0221,5,A,識別目的,Identifier Purpose,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference.cor_IdentifierPurpose,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailIdentifierReference[C36].cor_IdentifierPurpose,owner-only,false,今回のprofileでは同一C1/C2/C3/C36内のType=OかつPurpose=departmentだけを部門とする。取引先はcounterparty
abc-shoten-gl-cor-april-v3,3.0.0,C39,39,value-property,0225,5,A,識別名称,Identifier Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference.cor_IdentifierDescription,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailIdentifierReference[C36].cor_IdentifierDescription,owner-only,false,部門名又は取引先名
abc-shoten-gl-cor-april-v3,3.0.0,C40,40,value-property,0226,5,A,識別種別,Identifier Type,Token,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference.cor_IdentifierType,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailIdentifierReference[C36].cor_IdentifierType,owner-only,false,既存列挙値O/C/V。今回のprofileの部門は同一occurrenceのO AND department完全一致。O単独は不可
abc-shoten-gl-cor-april-v3,3.0.0,C41,41,occurrence-coordinate,0298,4,C,ジョブoccurrence,Detail Job occurrence,Integer,0..*,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailJob,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailJob,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailJob[C41],owner-only,false,親EntryDetail内で1から
abc-shoten-gl-cor-april-v3,3.0.0,C42,42,value-property,0299,5,A,ジョブID,Job ID,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailJob,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailJob.bus_JobID,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailJob[C41].bus_JobID,owner-only,false,プロジェクトコード
abc-shoten-gl-cor-april-v3,3.0.0,C43,43,value-property,0300,5,A,ジョブ説明,Job Description,String,0..1,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailJob,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailJob.bus_JobDescription,$.cor_AccountingEntries[C1].cor_EntryHeader[C2].cor_EntryDetail[C3].cor_DetailJob[C41].bus_JobDescription,owner-only,false,プロジェクト名
