JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02,Source_Row,Entry_Key,Debit_Occurrence,Credit_Occurrence,Semantic_Path,Binding_Path
6,2,2022-01,2022-01-05,900573,Synthetic demo customer receipt 900573,1100,Demo Central Ordinary Deposit,335470,00,00,0,B001,Demo Central Bank,D01,Demo Sales,,,0,,,0,,,,,962,"[""20220105"",""900573""]",962-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""962-D"",""d_cor_entryHeader"":""[\""20220105\"",\""900573\""]""}"
7,1,2022-01,2022-01-06,900563,Synthetic demo customer receipt 900563,,,0,,,0,,,,,1200,Demo Accounts Receivable,86730,00,00,0,C010,Demo Customer Juniper,D01,Demo Sales,963,"[""20220106"",""900563""]",,963-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""963-C"",""d_cor_entryHeader"":""[\""20220106\"",\""900563\""]""}"
7,2,2022-01,2022-01-06,900563,Synthetic demo customer receipt 900563,1120,Demo Harbor Ordinary Deposit,86730,00,00,0,B003,Harbor Demo Bank,D01,Demo Sales,,,0,,,0,,,,,963,"[""20220106"",""900563""]",963-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""963-D"",""d_cor_entryHeader"":""[\""20220106\"",\""900563\""]""}"
8,1,2022-01,2022-01-06,900572,Synthetic demo financing settlement 900572,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,726130,00,00,0,B003,Harbor Demo Bank,D06,Demo Management,964,"[""20220106"",""900572""]",,964-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""964-C"",""d_cor_entryHeader"":""[\""20220106\"",\""900572\""]""}"
8,2,2022-01,2022-01-06,900572,Synthetic demo financing settlement 900572,2200,Demo Short-term Loans,377580,00,00,0,,,D06,Demo Management,,,0,,,0,,,,,964,"[""20220106"",""900572""]",964-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""964-D"",""d_cor_entryHeader"":""[\""20220106\"",\""900572\""]""}"
8,3,2022-01,2022-01-06,900572,Synthetic demo financing settlement 900572,6070,Demo Bank Fees,7260,00,00,0,B003,Harbor Demo Bank,D06,Demo Management,,,0,,,0,,,,,965,"[""20220106"",""900572""]",965-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""965-D"",""d_cor_entryHeader"":""[\""20220106\"",\""900572\""]""}"
8,4,2022-01,2022-01-06,900572,Synthetic demo financing settlement 900572,7000,Demo Taxes and Dues,341290,P0,P0,0,,,D06,Demo Management,,,0,,,0,,,,,966,"[""20220106"",""900572""]",966-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""966-D"",""d_cor_entryHeader"":""[\""20220106\"",\""900572\""]""}"
9,1,2022-01,2022-01-07,900536,Synthetic demo purchase on account 900536,,,0,,,0,,,,,2000,Demo Accounts Payable,46110,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,967,"[""20220107"",""900536""]",,967-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""967-C"",""d_cor_entryHeader"":""[\""20220107\"",\""900536\""]""}"
9,2,2022-01,2022-01-07,900536,Synthetic demo purchase on account 900536,5020,Demo Inventory Adjustment,46110,Q5,Q5,4192,V001,Demo Vendor Keystone,D04,Demo Logistics,,,0,,,0,,,,,967,"[""20220107"",""900536""]",967-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""967-D"",""d_cor_entryHeader"":""[\""20220107\"",\""900536\""]""}"
10,1,2022-01,2022-01-07,900538,Synthetic demo operating expense 900538,,,0,,,0,,,,,1110,Demo North Current Deposit,57370,00,00,0,B002,North Demo Bank,D03,Demo Operations,968,"[""20220107"",""900538""]",,968-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""968-C"",""d_cor_entryHeader"":""[\""20220107\"",\""900538\""]""}"
10,2,2022-01,2022-01-07,900538,Synthetic demo operating expense 900538,7000,Demo Taxes and Dues,57370,P0,P0,0,V001,Demo Vendor Keystone,D03,Demo Operations,,,0,,,0,,,,,968,"[""20220107"",""900538""]",968-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""968-D"",""d_cor_entryHeader"":""[\""20220107\"",\""900538\""]""}"
11,1,2022-01,2022-01-07,900548,Synthetic demo operating expense 900548,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,26960,00,00,0,B003,Harbor Demo Bank,D05,Demo Digital Services,969,"[""20220107"",""900548""]",,969-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""969-C"",""d_cor_entryHeader"":""[\""20220107\"",\""900548\""]""}"
11,2,2022-01,2022-01-07,900548,Synthetic demo operating expense 900548,6100,Demo Repairs,26960,Q5,Q5,2451,V001,Demo Vendor Keystone,D05,Demo Digital Services,,,0,,,0,,,,,969,"[""20220107"",""900548""]",969-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""969-D"",""d_cor_entryHeader"":""[\""20220107\"",\""900548\""]""}"
12,1,2022-01,2022-01-07,900552,Synthetic demo monthly payroll bundle 900552,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,403430,00,00,0,B001,Demo Central Bank,D02,Demo Administration,970,"[""20220107"",""900552""]",,970-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""970-C"",""d_cor_entryHeader"":""[\""20220107\"",\""900552\""]""}"
12,2,2022-01,2022-01-07,900552,Synthetic demo monthly payroll bundle 900552,6000,Demo Salaries,88750,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,970,"[""20220107"",""900552""]",970-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""970-D"",""d_cor_entryHeader"":""[\""20220107\"",\""900552\""]""}"
12,3,2022-01,2022-01-07,900552,Synthetic demo monthly payroll bundle 900552,6010,Demo Statutory Welfare,56480,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,971,"[""20220107"",""900552""]",971-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""971-D"",""d_cor_entryHeader"":""[\""20220107\"",\""900552\""]""}"
12,4,2022-01,2022-01-07,900552,Synthetic demo monthly payroll bundle 900552,2110,Demo Payroll Withholding,258200,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,972,"[""20220107"",""900552""]",972-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""972-D"",""d_cor_entryHeader"":""[\""20220107\"",\""900552\""]""}"
13,1,2022-01,2022-01-07,900566,Synthetic demo purchase on account 900566,,,0,,,0,,,,,2000,Demo Accounts Payable,154460,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,973,"[""20220107"",""900566""]",,973-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""973-C"",""d_cor_entryHeader"":""[\""20220107\"",\""900566\""]""}"
13,2,2022-01,2022-01-07,900566,Synthetic demo purchase on account 900566,5020,Demo Inventory Adjustment,154460,Q5,Q5,14042,V001,Demo Vendor Keystone,D04,Demo Logistics,,,0,,,0,,,,,973,"[""20220107"",""900566""]",973-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""973-D"",""d_cor_entryHeader"":""[\""20220107\"",\""900566\""]""}"
14,1,2022-01,2022-01-07,900567,Synthetic demo vendor settlement 900567,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,132130,00,00,0,B001,Demo Central Bank,D04,Demo Logistics,974,"[""20220107"",""900567""]",,974-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""974-C"",""d_cor_entryHeader"":""[\""20220107\"",\""900567\""]""}"
14,2,2022-01,2022-01-07,900567,Synthetic demo vendor settlement 900567,2000,Demo Accounts Payable,132130,00,00,0,V006,Demo Vendor Prairie,D04,Demo Logistics,,,0,,,0,,,,,974,"[""20220107"",""900567""]",974-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""974-D"",""d_cor_entryHeader"":""[\""20220107\"",\""900567\""]""}"
15,1,2022-01,2022-01-07,900569,Synthetic demo prepaid service 900569,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,64800,00,00,0,B003,Harbor Demo Bank,D05,Demo Digital Services,975,"[""20220107"",""900569""]",,975-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""975-C"",""d_cor_entryHeader"":""[\""20220107\"",\""900569\""]""}"
15,2,2022-01,2022-01-07,900569,Synthetic demo prepaid service 900569,1400,Demo Prepaid Expenses,64800,00,00,0,S006,Demo Insurance Services,D05,Demo Digital Services,,,0,,,0,,,,,975,"[""20220107"",""900569""]",975-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""975-D"",""d_cor_entryHeader"":""[\""20220107\"",\""900569\""]""}"
16,1,2022-01,2022-01-07,900590,Synthetic demo credit sale 900590,,,0,,,0,,,,,4020,Demo Other Operating Revenue,441180,B5,B5,40107,C001,Demo Customer Aurora,D01,Demo Sales,976,"[""20220107"",""900590""]",,976-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""976-C"",""d_cor_entryHeader"":""[\""20220107\"",\""900590\""]""}"
16,2,2022-01,2022-01-07,900590,Synthetic demo credit sale 900590,1200,Demo Accounts Receivable,441180,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,976,"[""20220107"",""900590""]",976-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""976-D"",""d_cor_entryHeader"":""[\""20220107\"",\""900590\""]""}"
17,1,2022-01,2022-01-08,900532,Synthetic demo credit sale 900532,,,0,,,0,,,,,4010,Demo Service Revenue,278710,B5,B5,25337,C007,Demo Customer Grove,D01,Demo Sales,977,"[""20220108"",""900532""]",,977-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""977-C"",""d_cor_entryHeader"":""[\""20220108\"",\""900532\""]""}"
17,2,2022-01,2022-01-08,900532,Synthetic demo credit sale 900532,1200,Demo Accounts Receivable,278710,00,00,0,C007,Demo Customer Grove,D01,Demo Sales,,,0,,,0,,,,,977,"[""20220108"",""900532""]",977-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""977-D"",""d_cor_entryHeader"":""[\""20220108\"",\""900532\""]""}"
18,1,2022-01,2022-01-08,900539,Synthetic demo prepaid service 900539,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,142580,00,00,0,B003,Harbor Demo Bank,D05,Demo Digital Services,978,"[""20220108"",""900539""]",,978-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""978-C"",""d_cor_entryHeader"":""[\""20220108\"",\""900539\""]""}"
18,2,2022-01,2022-01-08,900539,Synthetic demo prepaid service 900539,1400,Demo Prepaid Expenses,142580,00,00,0,S006,Demo Insurance Services,D05,Demo Digital Services,,,0,,,0,,,,,978,"[""20220108"",""900539""]",978-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""978-D"",""d_cor_entryHeader"":""[\""20220108\"",\""900539\""]""}"
19,1,2022-01,2022-01-08,900545,Synthetic demo purchase on account 900545,,,0,,,0,,,,,2000,Demo Accounts Payable,145800,00,00,0,V006,Demo Vendor Prairie,D04,Demo Logistics,979,"[""20220108"",""900545""]",,979-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""979-C"",""d_cor_entryHeader"":""[\""20220108\"",\""900545\""]""}"
19,2,2022-01,2022-01-08,900545,Synthetic demo purchase on account 900545,5020,Demo Inventory Adjustment,145800,Q5,Q5,13255,V006,Demo Vendor Prairie,D04,Demo Logistics,,,0,,,0,,,,,979,"[""20220108"",""900545""]",979-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""979-D"",""d_cor_entryHeader"":""[\""20220108\"",\""900545\""]""}"
20,1,2022-01,2022-01-08,900547,Synthetic demo vendor settlement 900547,,,0,,,0,,,,,1110,Demo North Current Deposit,29050,00,00,0,B002,North Demo Bank,D04,Demo Logistics,980,"[""20220108"",""900547""]",,980-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""980-C"",""d_cor_entryHeader"":""[\""20220108\"",\""900547\""]""}"
20,2,2022-01,2022-01-08,900547,Synthetic demo vendor settlement 900547,2000,Demo Accounts Payable,29050,00,00,0,V006,Demo Vendor Prairie,D04,Demo Logistics,,,0,,,0,,,,,980,"[""20220108"",""900547""]",980-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""980-D"",""d_cor_entryHeader"":""[\""20220108\"",\""900547\""]""}"
21,1,2022-01,2022-01-08,900571,Synthetic demo credit sale 900571,,,0,,,0,,,,,4010,Demo Service Revenue,462720,B5,B5,42065,C004,Demo Customer Dawn,D01,Demo Sales,981,"[""20220108"",""900571""]",,981-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""981-C"",""d_cor_entryHeader"":""[\""20220108\"",\""900571\""]""}"
21,2,2022-01,2022-01-08,900571,Synthetic demo credit sale 900571,1200,Demo Accounts Receivable,462720,00,00,0,C004,Demo Customer Dawn,D01,Demo Sales,,,0,,,0,,,,,981,"[""20220108"",""900571""]",981-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""981-D"",""d_cor_entryHeader"":""[\""20220108\"",\""900571\""]""}"
22,1,2022-01,2022-01-09,900550,Synthetic demo credit sale 900550,,,0,,,0,,,,,4010,Demo Service Revenue,257130,B5,B5,23375,C001,Demo Customer Aurora,D01,Demo Sales,982,"[""20220109"",""900550""]",,982-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""982-C"",""d_cor_entryHeader"":""[\""20220109\"",\""900550\""]""}"
22,2,2022-01,2022-01-09,900550,Synthetic demo credit sale 900550,1200,Demo Accounts Receivable,257130,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,982,"[""20220109"",""900550""]",982-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""982-D"",""d_cor_entryHeader"":""[\""20220109\"",\""900550\""]""}"
23,1,2022-01,2022-01-09,900562,Synthetic demo mixed sales and receipt 900562,1110,Demo North Current Deposit,602730,00,00,0,B002,North Demo Bank,D01,Demo Sales,,,0,,,0,,,,,983,"[""20220109"",""900562""]",983-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""983-D"",""d_cor_entryHeader"":""[\""20220109\"",\""900562\""]""}"
23,2,2022-01,2022-01-09,900562,Synthetic demo mixed sales and receipt 900562,1200,Demo Accounts Receivable,141390,00,00,0,C003,Demo Customer Cobalt,D01,Demo Sales,,,0,,,0,,,,,984,"[""20220109"",""900562""]",984-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""984-D"",""d_cor_entryHeader"":""[\""20220109\"",\""900562\""]""}"
23,3,2022-01,2022-01-09,900562,Synthetic demo mixed sales and receipt 900562,,,0,,,0,,,,,4000,Demo Product Sales,186030,B5,B5,16912,C004,Demo Customer Dawn,D01,Demo Sales,985,"[""20220109"",""900562""]",,985-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""985-C"",""d_cor_entryHeader"":""[\""20220109\"",\""900562\""]""}"
23,4,2022-01,2022-01-09,900562,Synthetic demo mixed sales and receipt 900562,,,0,,,0,,,,,4010,Demo Service Revenue,558090,B5,B5,50735,C005,Demo Customer Elm,D01,Demo Sales,986,"[""20220109"",""900562""]",,986-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""986-C"",""d_cor_entryHeader"":""[\""20220109\"",\""900562\""]""}"
24,1,2022-01,2022-01-09,900589,Synthetic demo prepaid service 900589,,,0,,,0,,,,,1110,Demo North Current Deposit,199900,00,00,0,B002,North Demo Bank,D05,Demo Digital Services,987,"[""20220109"",""900589""]",,987-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""987-C"",""d_cor_entryHeader"":""[\""20220109\"",\""900589\""]""}"
24,2,2022-01,2022-01-09,900589,Synthetic demo prepaid service 900589,1400,Demo Prepaid Expenses,199900,00,00,0,S002,Demo Energy Services,D05,Demo Digital Services,,,0,,,0,,,,,987,"[""20220109"",""900589""]",987-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""987-D"",""d_cor_entryHeader"":""[\""20220109\"",\""900589\""]""}"
25,1,2022-01,2022-01-10,900553,Synthetic demo customer receipt 900553,,,0,,,0,,,,,1200,Demo Accounts Receivable,60010,00,00,0,C010,Demo Customer Juniper,D01,Demo Sales,988,"[""20220110"",""900553""]",,988-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""988-C"",""d_cor_entryHeader"":""[\""20220110\"",\""900553\""]""}"
25,2,2022-01,2022-01-10,900553,Synthetic demo customer receipt 900553,1110,Demo North Current Deposit,60010,00,00,0,B002,North Demo Bank,D01,Demo Sales,,,0,,,0,,,,,988,"[""20220110"",""900553""]",988-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""988-D"",""d_cor_entryHeader"":""[\""20220110\"",\""900553\""]""}"
26,1,2022-01,2022-01-10,900558,Synthetic demo operating expense 900558,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,178370,00,00,0,B001,Demo Central Bank,D02,Demo Administration,989,"[""20220110"",""900558""]",,989-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""989-C"",""d_cor_entryHeader"":""[\""20220110\"",\""900558\""]""}"
26,2,2022-01,2022-01-10,900558,Synthetic demo operating expense 900558,6020,Demo Office Rent,178370,Q5,Q5,16215,V001,Demo Vendor Keystone,D02,Demo Administration,,,0,,,0,,,,,989,"[""20220110"",""900558""]",989-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""989-D"",""d_cor_entryHeader"":""[\""20220110\"",\""900558\""]""}"
27,1,2022-01,2022-01-11,900565,Synthetic demo operating cost bundle 900565,,,0,,,0,,,,,1110,Demo North Current Deposit,452200,00,00,0,B002,North Demo Bank,D03,Demo Operations,990,"[""20220111"",""900565""]",,990-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""990-C"",""d_cor_entryHeader"":""[\""20220111\"",\""900565\""]""}"
27,2,2022-01,2022-01-11,900565,Synthetic demo operating cost bundle 900565,6030,Demo Utilities,67830,Q5,Q5,6166,S002,Demo Energy Services,D03,Demo Operations,,,0,,,0,,,,,990,"[""20220111"",""900565""]",990-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""990-D"",""d_cor_entryHeader"":""[\""20220111\"",\""900565\""]""}"
27,3,2022-01,2022-01-11,900565,Synthetic demo operating cost bundle 900565,6040,Demo Communication,126610,Q5,Q5,11510,S003,Demo Network Services,D03,Demo Operations,,,0,,,0,,,,,991,"[""20220111"",""900565""]",991-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""991-D"",""d_cor_entryHeader"":""[\""20220111\"",\""900565\""]""}"
27,4,2022-01,2022-01-11,900565,Synthetic demo operating cost bundle 900565,6060,Demo Office Supplies,257760,Q5,Q5,23433,V006,Demo Vendor Prairie,D03,Demo Operations,,,0,,,0,,,,,992,"[""20220111"",""900565""]",992-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""992-D"",""d_cor_entryHeader"":""[\""20220111\"",\""900565\""]""}"
28,1,2022-01,2022-01-11,900577,Synthetic demo vendor settlement 900577,,,0,,,0,,,,,1110,Demo North Current Deposit,300330,00,00,0,B002,North Demo Bank,D04,Demo Logistics,993,"[""20220111"",""900577""]",,993-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""993-C"",""d_cor_entryHeader"":""[\""20220111\"",\""900577\""]""}"
28,2,2022-01,2022-01-11,900577,Synthetic demo vendor settlement 900577,2000,Demo Accounts Payable,300330,00,00,0,V006,Demo Vendor Prairie,D04,Demo Logistics,,,0,,,0,,,,,993,"[""20220111"",""900577""]",993-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""993-D"",""d_cor_entryHeader"":""[\""20220111\"",\""900577\""]""}"
29,1,2022-01,2022-01-11,900579,Synthetic demo prepaid service 900579,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,234850,00,00,0,B001,Demo Central Bank,D05,Demo Digital Services,994,"[""20220111"",""900579""]",,994-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""994-C"",""d_cor_entryHeader"":""[\""20220111\"",\""900579\""]""}"
