JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03
2593,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,42640.0,3876.0,S10,Standard 10%,10A100020,Cash and deposits,,,,42640.0,0.0,O,Exempt,,,,,,
2593,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2593,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2594,,,,,,134,2022-03-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2594,1.0,,,,,,,,,,Paper,10E201110,Office supplies expenses,,,,31500.0,2863.0,S10,Standard 10%,10B100630,Accounts payable - other,,,,31500.0,0.0,O,Exempt,,,,,,
2594,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2594,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2595,,,,,,142,2022-03-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2595,1.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,220.0,20.0,S10,Standard 10%,10A100020,Cash and deposits,,,,22725.0,0.0,O,Exempt,,,,,,
2595,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2595,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2595,2.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,3338.0,303.0,S10,Standard 10%,,,,,,,,,,,,,,,
2595,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2595,3.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,5228.0,475.0,S10,Standard 10%,,,,,,,,,,,,,,,
2595,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2595,4.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,2461.0,223.0,S10,Standard 10%,,,,,,,,,,,,,,,
2595,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2595,5.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,3373.0,306.0,S10,Standard 10%,,,,,,,,,,,,,,,
2595,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2595,6.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,8105.0,736.0,S10,Standard 10%,,,,,,,,,,,,,,,
2595,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2596,,,,,,42,2022-03-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2596,1.0,,,,,,,,,,Meal Cost Tonkichi 2 People,10E200150,Entertainment expenses,,,,4510.0,410.0,S10,Standard 10%,10A100020,Cash and deposits,,,,4510.0,0.0,O,Exempt,,,,,,
2596,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2596,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2597,,,,,,43,2022-03-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2597,1.0,,,,,,,,,,Subjects Gokoshi Department Store,10E200150,Entertainment expenses,,,,7630.0,693.0,S10,Standard 10%,10A100020,Cash and deposits,,,,7630.0,0.0,O,Exempt,,,,,,
2597,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2597,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2598,,,,,,58,2022-03-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2598,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,69800.0,6345.0,S10,Standard 10%,10A100020,Cash and deposits,,,,69800.0,0.0,O,Exempt,,,,,,
2598,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2598,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2599,,,,,,84,2022-03-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2599,1.0,,,,,,,,,,"March 5th Slip No. 458 Watanabe Industries Co., Ltd.",10A100020,Cash and deposits,,,,1108504.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,1108504.0,0.0,O,Exempt,,,,,,
2599,1.0,,1.0,,,,,,,,,,,50,Fukuoka Kitakyushu,sub-account,,,,,,,,,,,,,,,,,,,
2599,1.0,,,,1.0,,,,,,,,,,,,,,,,,,22,"Watanabe Industries Co., Ltd.",sub-account,,,,,,,,,,
2599,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2599,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2599,2.0,,,,,,,,,,"March 5th Slip No. 458 Watanabe Industries Co., Ltd.",10E200690,Commission expenses,,,,472.0,42.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,472.0,0.0,O,Exempt,,,,,,
2599,2.0,,,,1.0,,,,,,,,,,,,,,,,,,22,"Watanabe Industries Co., Ltd.",sub-account,,,,,,,,,,
2599,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2599,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2600,,,,,,85,2022-03-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2600,1.0,,,,,,,,,,"March 5th Slip No. 459 Sasaki Sales Co., Ltd.",10A100020,Cash and deposits,,,,1361840.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,1361840.0,0.0,O,Exempt,,,,,,
2600,1.0,,1.0,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,,,,,,,,,,
2600,1.0,,,,1.0,,,,,,,,,,,,,,,,,,26,"Sasaki Sales Co., Ltd.",sub-account,,,,,,,,,,
2600,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2600,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2600,2.0,,,,,,,,,,"March 5th Slip No. 459 Sasaki Sales Co., Ltd.",10E200690,Commission expenses,,,,472.0,42.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,472.0,0.0,O,Exempt,,,,,,
2600,2.0,,,,1.0,,,,,,,,,,,,,,,,,,26,"Sasaki Sales Co., Ltd.",sub-account,,,,,,,,,,
2600,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2600,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2601,,,,,,86,2022-03-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2601,1.0,,,,,,,,,,"March 5th Slip No. 460 Iwashita Trading Co., Ltd.",10A100020,Cash and deposits,,,,1505515.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,1505515.0,0.0,O,Exempt,,,,,,
2601,1.0,,1.0,,,,,,,,,,,30,Mitsui Nagoya,sub-account,,,,,,,,,,,,,,,,,,,
2601,1.0,,,,1.0,,,,,,,,,,,,,,,,,,27,"Iwashita Trading Co., Ltd.",sub-account,,,,,,,,,,
2601,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2601,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2602,,,,,,133,2022-03-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2602,1.0,,,,,,,,,,Tax Accountant Fee,10E200600,Fee expenses,,,,139710.0,12700.0,S10,Standard 10%,10A100020,Cash and deposits,,,,139710.0,0.0,O,Exempt,,,,,,
2602,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,
2602,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2602,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2603,,,,,,7,2022-03-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2603,1.0,,,,,,,,,,Food and Beverage Cost Izakaya Iroha 7 People,10E200150,Entertainment expenses,,,,21840.0,1985.0,S10,Standard 10%,10A100020,Cash and deposits,,,,21840.0,0.0,O,Exempt,,,,,,
2603,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2603,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2604,,,,,,22,2022-03-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2604,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,32900.0,2990.0,S10,Standard 10%,10A100020,Cash and deposits,,,,32900.0,0.0,O,Exempt,,,,,,
2604,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2604,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2605,,,,,,110,2022-03-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2605,1.0,,,,,,,,,,Taxi Fare,10E201230,Travel and transportation expenses,,,,2290.0,208.0,S10,Standard 10%,10A100020,Cash and deposits,,,,2290.0,0.0,O,Exempt,,,,,,
2605,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2605,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2606,,,,,,147,2022-03-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2606,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,6334.0,575.0,S10,Standard 10%,10B100630,Accounts payable - other,,,,6334.0,0.0,O,Exempt,,,,,,
2606,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2606,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2607,,,,,,10,2022-03-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2607,1.0,,,,,,,,,,Parking Fee,10E201120,Vehicle expenses,,,,300.0,27.0,S10,Standard 10%,10A100020,Cash and deposits,,,,300.0,0.0,O,Exempt,,,,,,
2607,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2607,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2608,,,,,,69,2022-03-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2608,1.0,,,,,,,,,,Toilet Paper Cost,10E201270,Miscellaneous expenses,,,,1398.0,127.0,S10,Standard 10%,10A100020,Cash and deposits,,,,1398.0,0.0,O,Exempt,,,,,,
2608,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2608,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2609,,,,,,77,2022-03-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2609,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,35000.0,3181.0,S10,Standard 10%,10A100020,Cash and deposits,,,,35000.0,0.0,O,Exempt,,,,,,
2609,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
2609,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2610,,,,,,78,2022-03-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2610,1.0,,,,,,,,,,JR,10E201230,Travel and transportation expenses,,,,7500.0,681.0,S10,Standard 10%,10A100020,Cash and deposits,,,,7500.0,0.0,O,Exempt,,,,,,
2610,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
2610,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2611,,,,,,79,2022-03-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2611,1.0,,,,,,,,,,Taxi Fare,10E201230,Travel and transportation expenses,,,,2300.0,209.0,S10,Standard 10%,10A100020,Cash and deposits,,,,2300.0,0.0,O,Exempt,,,,,,
2611,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
2611,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2612,,,,,,102,2022-03-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2612,1.0,,,,,,,,,,Subjects Abe Shoten,10E200150,Entertainment expenses,,,,2100.0,190.0,S10,Standard 10%,10A100020,Cash and deposits,,,,2100.0,0.0,O,Exempt,,,,,,
2612,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2612,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2613,,,,,,161,2022-03-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2613,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,5530.0,502.0,S10,Standard 10%,10A100020,Cash and deposits,,,,5530.0,0.0,O,Exempt,,,,,,
2613,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2613,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2614,,,,,,50,2022-03-08,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2614,1.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,1200.0,109.0,S10,Standard 10%,10A100020,Cash and deposits,,,,1200.0,0.0,O,Exempt,,,,,,
2614,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2614,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2615,,,,,,151,2022-03-08,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2615,1.0,,,,,,,,,,Golf Play Fee,10E200150,Entertainment expenses,,,,8400.0,763.0,S10,Standard 10%,10A100020,Cash and deposits,,,,8400.0,0.0,O,Exempt,,,,,,
2615,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2615,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2616,,,,,,20,2022-03-09,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2616,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,51200.0,4654.0,S10,Standard 10%,10A100020,Cash and deposits,,,,51200.0,0.0,O,Exempt,,,,,,
2616,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2616,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2617,,,,,,11,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2617,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,4632.0,421.0,S10,Standard 10%,10A100020,Cash and deposits,,,,4632.0,0.0,O,Exempt,,,,,,
2617,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2617,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2618,,,,,,33,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2618,1.0,,,,,,,,,,Rent Payment,10E200720,Rent expenses on land and buildings,,,,320000.0,29090.0,S10,Standard 10%,10A100020,Cash and deposits,,,,320000.0,0.0,O,Exempt,,,,,,
2618,1.0,,,,1.0,,,,,,,,,,,,,,,,,,10,Hokkaido Station Front,sub-account,,,,,,,,,,
2618,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2618,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2618,2.0,,,,,,,,,,Telephone Cost,10E200180,Communication expenses,,,,142365.0,12942.0,S10,Standard 10%,10A100020,Cash and deposits,,,,142365.0,0.0,O,Exempt,,,,,,
2618,2.0,,,,1.0,,,,,,,,,,,,,,,,,,10,Hokkaido Station Front,sub-account,,,,,,,,,,
2618,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2618,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2619,,,,,,57,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2619,1.0,,,,,,,,,,JR,10E201230,Travel and transportation expenses,,,,101000.0,9181.0,S10,Standard 10%,10A100020,Cash and deposits,,,,101000.0,0.0,O,Exempt,,,,,,
2619,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2619,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2620,,,,,,61,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2620,1.0,,,,,,,,,,Withholding Tax Payment,10B100690,Deposits received,,,,246932.0,0.0,O,Exempt,10A100020,Cash and deposits,,,,696432.0,0.0,O,Exempt,,,,,,
2620,1.0,,1.0,,,,,,,,,,,3,Withholding Tax,sub-account,,,,,,,,,,,,,,,,,,,
2620,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,
2620,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2620,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2620,2.0,,,,,,,,,,Resident Tax Payment,10B100690,Deposits received,,,,449500.0,0.0,O,Exempt,,,,,,,,,,,,,,,
2620,2.0,,1.0,,,,,,,,,,,2,Resident Tax,sub-account,,,,,,,,,,,,,,,,,,,
2620,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2621,,,,,,63,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2621,1.0,,,,,,,,,,Rent Payment,10E200720,Rent expenses on land and buildings,,,,1260000.0,114545.0,S10,Standard 10%,10A100020,Cash and deposits,,,,1260000.0,0.0,O,Exempt,,,,,,
2621,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,
2621,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2621,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2622,,,,,,64,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2622,1.0,,,,,,,,,,Rent Payment,10E200720,Rent expenses on land and buildings,,,,840000.0,76363.0,S10,Standard 10%,10A100020,Cash and deposits,,,,840000.0,0.0,O,Exempt,,,,,,
2622,1.0,,,,1.0,,,,,,,,,,,,,,,,,,40,Mitsubishi Tokyo Umeda,sub-account,,,,,,,,,,
2622,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
2622,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2623,,,,,,65,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2623,1.0,,,,,,,,,,Wired (Cable),10E201270,Miscellaneous expenses,,,,5000.0,454.0,S10,Standard 10%,10B100630,Accounts payable - other,,,,39286.0,0.0,O,Exempt,,,,,,
2623,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2623,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2623,2.0,,,,,,,,,,Security Fee,10E201270,Miscellaneous expenses,,,,34286.0,3116.0,S10,Standard 10%,,,,,,,,,,,,,,,
2623,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
2624,,,,,,76,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2624,1.0,,,,,,,,,,Employee Night Meal Cost,10E200140,Welfare expenses,,,,75460.0,6860.0,S10,Standard 10%,10B100630,Accounts payable - other,,,,75460.0,0.0,O,Exempt,,,,,,
2624,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
2624,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2625,,,,,,78,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2625,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,5623.0,511.0,S10,Standard 10%,10A100020,Cash and deposits,,,,7338.0,0.0,O,Exempt,,,,,,
2625,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2625,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2625,2.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,1715.0,155.0,S10,Standard 10%,,,,,,,,,,,,,,,
2625,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
2626,,,,,,87,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2626,1.0,,,,,,,,,,"March 10th Slip No. 461 Check Co., Ltd.",10B100040,Accounts payable - trade,,,,1213237.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,1213237.0,0.0,O,Exempt,,,,,,
2626,1.0,,1.0,,,,,,,,,,,3,"Check Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,,
2626,1.0,,,,1.0,,,,,,,,,,,,,,,,,,3,"Check Co., Ltd.",sub-account,,,,,,,,,,
2626,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2626,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2627,,,,,,88,2022-03-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2627,1.0,,,,,,,,,,"March 10th Slip No. 462 Fujita Tokyo Headquarters Co., Ltd.",10A100020,Cash and deposits,,,,11717745.0,0.0,O,Exempt,10A100090,Accounts receivable - trade,,,,11717745.0,0.0,O,Exempt,,,,,,
2627,1.0,,1.0,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,,,,,,,,,,
2627,1.0,,,,1.0,,,,,,,,,,,,,,,,,,14,"Fujita Co., Ltd.",sub-account,,,,,,,,,,
2627,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
2627,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
2627,2.0,,,,,,,,,,"March 10th Slip No. 462 Fujita Tokyo Headquarters Co., Ltd.",10E200690,Commission expenses,,,,735.0,66.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,735.0,0.0,O,Exempt,,,,,,
2627,2.0,,,,1.0,,,,,,,,,,,,,,,,,,14,"Fujita Co., Ltd.",sub-account,,,,,,,,,,
2627,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
