JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02,Source_Row,Entry_Key,Debit_Occurrence,Credit_Occurrence,Semantic_Path,Binding_Path
6,1,2021-04,2021-04-06,900010,Synthetic demo credit sale 900010,,,0,,,0,,,,,4010,Demo Service Revenue,228470,B5,B5,20770,C001,Demo Customer Aurora,D01,Demo Sales,6,"[""20210406"",""900010""]",,6-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""6-C"",""d_cor_entryHeader"":""[\""20210406\"",\""900010\""]""}"
6,2,2021-04,2021-04-06,900010,Synthetic demo credit sale 900010,1200,Demo Accounts Receivable,228470,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,6,"[""20210406"",""900010""]",6-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""6-D"",""d_cor_entryHeader"":""[\""20210406\"",\""900010\""]""}"
7,1,2021-04,2021-04-06,900024,Synthetic demo monthly payroll bundle 900024,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,686450,00,00,0,B001,Demo Central Bank,D02,Demo Administration,7,"[""20210406"",""900024""]",,7-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""7-C"",""d_cor_entryHeader"":""[\""20210406\"",\""900024\""]""}"
7,2,2021-04,2021-04-06,900024,Synthetic demo monthly payroll bundle 900024,6000,Demo Salaries,260850,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,7,"[""20210406"",""900024""]",7-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""7-D"",""d_cor_entryHeader"":""[\""20210406\"",\""900024\""]""}"
7,3,2021-04,2021-04-06,900024,Synthetic demo monthly payroll bundle 900024,6010,Demo Statutory Welfare,253980,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,8,"[""20210406"",""900024""]",8-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""8-D"",""d_cor_entryHeader"":""[\""20210406\"",\""900024\""]""}"
7,4,2021-04,2021-04-06,900024,Synthetic demo monthly payroll bundle 900024,2110,Demo Payroll Withholding,171620,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,9,"[""20210406"",""900024""]",9-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""9-D"",""d_cor_entryHeader"":""[\""20210406\"",\""900024\""]""}"
8,1,2021-04,2021-04-06,900027,Synthetic demo vendor settlement 900027,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,110390,00,00,0,B001,Demo Central Bank,D04,Demo Logistics,10,"[""20210406"",""900027""]",,10-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""10-C"",""d_cor_entryHeader"":""[\""20210406\"",\""900027\""]""}"
8,2,2021-04,2021-04-06,900027,Synthetic demo vendor settlement 900027,2000,Demo Accounts Payable,110390,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,,,0,,,0,,,,,10,"[""20210406"",""900027""]",10-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""10-D"",""d_cor_entryHeader"":""[\""20210406\"",\""900027\""]""}"
9,1,2021-04,2021-04-07,900045,Synthetic demo purchase on account 900045,,,0,,,0,,,,,2000,Demo Accounts Payable,95580,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,11,"[""20210407"",""900045""]",,11-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""11-C"",""d_cor_entryHeader"":""[\""20210407\"",\""900045\""]""}"
9,2,2021-04,2021-04-07,900045,Synthetic demo purchase on account 900045,5000,Demo Purchases,95580,Q5,Q5,8689,V006,Demo Vendor Prairie,D04,Demo Logistics,,,0,,,0,,,,,11,"[""20210407"",""900045""]",11-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""11-D"",""d_cor_entryHeader"":""[\""20210407\"",\""900045\""]""}"
10,1,2021-04,2021-04-07,900056,Synthetic demo purchase on account 900056,,,0,,,0,,,,,2000,Demo Accounts Payable,222250,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,12,"[""20210407"",""900056""]",,12-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""12-C"",""d_cor_entryHeader"":""[\""20210407\"",\""900056\""]""}"
10,2,2021-04,2021-04-07,900056,Synthetic demo purchase on account 900056,5020,Demo Inventory Adjustment,222250,Q5,Q5,20205,V001,Demo Vendor Keystone,D04,Demo Logistics,,,0,,,0,,,,,12,"[""20210407"",""900056""]",12-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""12-D"",""d_cor_entryHeader"":""[\""20210407\"",\""900056\""]""}"
11,1,2021-04,2021-04-08,900020,Synthetic demo credit sale 900020,,,0,,,0,,,,,4020,Demo Other Operating Revenue,65230,B5,B5,5930,C001,Demo Customer Aurora,D01,Demo Sales,13,"[""20210408"",""900020""]",,13-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""13-C"",""d_cor_entryHeader"":""[\""20210408\"",\""900020\""]""}"
11,2,2021-04,2021-04-08,900020,Synthetic demo credit sale 900020,1200,Demo Accounts Receivable,65230,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,13,"[""20210408"",""900020""]",13-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""13-D"",""d_cor_entryHeader"":""[\""20210408\"",\""900020\""]""}"
12,1,2021-04,2021-04-08,900028,Synthetic demo mixed sales and receipt 900028,1110,Demo North Current Deposit,418510,00,00,0,B002,North Demo Bank,D01,Demo Sales,,,0,,,0,,,,,14,"[""20210408"",""900028""]",14-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""14-D"",""d_cor_entryHeader"":""[\""20210408\"",\""900028\""]""}"
12,2,2021-04,2021-04-08,900028,Synthetic demo mixed sales and receipt 900028,1200,Demo Accounts Receivable,290830,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,15,"[""20210408"",""900028""]",15-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""15-D"",""d_cor_entryHeader"":""[\""20210408\"",\""900028\""]""}"
12,3,2021-04,2021-04-08,900028,Synthetic demo mixed sales and receipt 900028,,,0,,,0,,,,,4000,Demo Product Sales,397230,B5,B5,36112,C010,Demo Customer Juniper,D01,Demo Sales,16,"[""20210408"",""900028""]",,16-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""16-C"",""d_cor_entryHeader"":""[\""20210408\"",\""900028\""]""}"
12,4,2021-04,2021-04-08,900028,Synthetic demo mixed sales and receipt 900028,,,0,,,0,,,,,4010,Demo Service Revenue,312110,B5,B5,28374,C001,Demo Customer Aurora,D01,Demo Sales,17,"[""20210408"",""900028""]",,17-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""17-C"",""d_cor_entryHeader"":""[\""20210408\"",\""900028\""]""}"
13,1,2021-04,2021-04-09,900037,Synthetic demo operating cost bundle 900037,,,0,,,0,,,,,1110,Demo North Current Deposit,558900,00,00,0,B002,North Demo Bank,D03,Demo Operations,18,"[""20210409"",""900037""]",,18-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""18-C"",""d_cor_entryHeader"":""[\""20210409\"",\""900037\""]""}"
13,2,2021-04,2021-04-09,900037,Synthetic demo operating cost bundle 900037,6030,Demo Utilities,374460,Q5,Q5,34042,S002,Demo Energy Services,D03,Demo Operations,,,0,,,0,,,,,18,"[""20210409"",""900037""]",18-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""18-D"",""d_cor_entryHeader"":""[\""20210409\"",\""900037\""]""}"
13,3,2021-04,2021-04-09,900037,Synthetic demo operating cost bundle 900037,6040,Demo Communication,22350,Q5,Q5,2032,S003,Demo Network Services,D03,Demo Operations,,,0,,,0,,,,,19,"[""20210409"",""900037""]",19-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""19-D"",""d_cor_entryHeader"":""[\""20210409\"",\""900037\""]""}"
13,4,2021-04,2021-04-09,900037,Synthetic demo operating cost bundle 900037,6060,Demo Office Supplies,162090,Q5,Q5,14735,V008,Demo Vendor Rivulet,D03,Demo Operations,,,0,,,0,,,,,20,"[""20210409"",""900037""]",20-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""20-D"",""d_cor_entryHeader"":""[\""20210409\"",\""900037\""]""}"
14,1,2021-04,2021-04-10,900004,Synthetic demo customer receipt 900004,,,0,,,0,,,,,1200,Demo Accounts Receivable,200680,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,21,"[""20210410"",""900004""]",,21-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""21-C"",""d_cor_entryHeader"":""[\""20210410\"",\""900004\""]""}"
14,2,2021-04,2021-04-10,900004,Synthetic demo customer receipt 900004,1110,Demo North Current Deposit,200680,00,00,0,B002,North Demo Bank,D01,Demo Sales,,,0,,,0,,,,,21,"[""20210410"",""900004""]",21-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""21-D"",""d_cor_entryHeader"":""[\""20210410\"",\""900004\""]""}"
15,1,2021-04,2021-04-11,900035,Synthetic demo purchase on account 900035,,,0,,,0,,,,,2000,Demo Accounts Payable,181350,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,22,"[""20210411"",""900035""]",,22-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""22-C"",""d_cor_entryHeader"":""[\""20210411\"",\""900035\""]""}"
15,2,2021-04,2021-04-11,900035,Synthetic demo purchase on account 900035,5020,Demo Inventory Adjustment,181350,Q5,Q5,16486,V006,Demo Vendor Prairie,D04,Demo Logistics,,,0,,,0,,,,,22,"[""20210411"",""900035""]",22-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""22-D"",""d_cor_entryHeader"":""[\""20210411\"",\""900035\""]""}"
16,1,2021-04,2021-04-12,900003,Synthetic demo multi-vendor settlement 900003,2000,Demo Accounts Payable,298830,00,00,0,V001,Demo Vendor Keystone,D01,Demo Sales,,,0,,,0,,,,,23,"[""20210412"",""900003""]",23-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""23-D"",""d_cor_entryHeader"":""[\""20210412\"",\""900003\""]""}"
16,2,2021-04,2021-04-12,900003,Synthetic demo multi-vendor settlement 900003,2100,Demo Accrued Payables,380340,00,00,0,V007,Demo Vendor Quartz,D01,Demo Sales,,,0,,,0,,,,,24,"[""20210412"",""900003""]",24-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""24-D"",""d_cor_entryHeader"":""[\""20210412\"",\""900003\""]""}"
16,3,2021-04,2021-04-12,900003,Synthetic demo multi-vendor settlement 900003,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,516160,00,00,0,B001,Demo Central Bank,D01,Demo Sales,25,"[""20210412"",""900003""]",,25-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""25-C"",""d_cor_entryHeader"":""[\""20210412\"",\""900003\""]""}"
16,4,2021-04,2021-04-12,900003,Synthetic demo multi-vendor settlement 900003,,,0,,,0,,,,,1110,Demo North Current Deposit,163010,00,00,0,B002,North Demo Bank,D01,Demo Sales,26,"[""20210412"",""900003""]",,26-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""26-C"",""d_cor_entryHeader"":""[\""20210412\"",\""900003\""]""}"
17,1,2021-04,2021-04-12,900043,Synthetic demo operating cost bundle 900043,,,0,,,0,,,,,1110,Demo North Current Deposit,402120,00,00,0,B002,North Demo Bank,D03,Demo Operations,27,"[""20210412"",""900043""]",,27-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""27-C"",""d_cor_entryHeader"":""[\""20210412\"",\""900043\""]""}"
17,2,2021-04,2021-04-12,900043,Synthetic demo operating cost bundle 900043,6030,Demo Utilities,108570,Q5,Q5,9870,S002,Demo Energy Services,D03,Demo Operations,,,0,,,0,,,,,27,"[""20210412"",""900043""]",27-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""27-D"",""d_cor_entryHeader"":""[\""20210412\"",\""900043\""]""}"
17,3,2021-04,2021-04-12,900043,Synthetic demo operating cost bundle 900043,6040,Demo Communication,80420,Q5,Q5,7311,S003,Demo Network Services,D03,Demo Operations,,,0,,,0,,,,,28,"[""20210412"",""900043""]",28-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""28-D"",""d_cor_entryHeader"":""[\""20210412\"",\""900043\""]""}"
17,4,2021-04,2021-04-12,900043,Synthetic demo operating cost bundle 900043,6060,Demo Office Supplies,213130,Q5,Q5,19375,V004,Demo Vendor Nimbus,D03,Demo Operations,,,0,,,0,,,,,29,"[""20210412"",""900043""]",29-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""29-D"",""d_cor_entryHeader"":""[\""20210412\"",\""900043\""]""}"
18,1,2021-04,2021-04-12,900060,Synthetic demo credit sale 900060,,,0,,,0,,,,,4000,Demo Product Sales,227480,B5,B5,20680,C001,Demo Customer Aurora,D01,Demo Sales,30,"[""20210412"",""900060""]",,30-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""30-C"",""d_cor_entryHeader"":""[\""20210412\"",\""900060\""]""}"
18,2,2021-04,2021-04-12,900060,Synthetic demo credit sale 900060,1200,Demo Accounts Receivable,227480,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,30,"[""20210412"",""900060""]",30-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""30-D"",""d_cor_entryHeader"":""[\""20210412\"",\""900060\""]""}"
19,1,2021-04,2021-04-14,900026,Synthetic demo purchase on account 900026,,,0,,,0,,,,,2000,Demo Accounts Payable,78360,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,31,"[""20210414"",""900026""]",,31-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""31-C"",""d_cor_entryHeader"":""[\""20210414\"",\""900026\""]""}"
19,2,2021-04,2021-04-14,900026,Synthetic demo purchase on account 900026,5020,Demo Inventory Adjustment,78360,Q5,Q5,7124,V001,Demo Vendor Keystone,D04,Demo Logistics,,,0,,,0,,,,,31,"[""20210414"",""900026""]",31-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""31-D"",""d_cor_entryHeader"":""[\""20210414\"",\""900026\""]""}"
20,1,2021-04,2021-04-14,900044,Synthetic demo customer receipt 900044,,,0,,,0,,,,,1200,Demo Accounts Receivable,489180,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,32,"[""20210414"",""900044""]",,32-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""32-C"",""d_cor_entryHeader"":""[\""20210414\"",\""900044\""]""}"
20,2,2021-04,2021-04-14,900044,Synthetic demo customer receipt 900044,1120,Demo Harbor Ordinary Deposit,489180,00,00,0,B003,Harbor Demo Bank,D01,Demo Sales,,,0,,,0,,,,,32,"[""20210414"",""900044""]",32-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""32-D"",""d_cor_entryHeader"":""[\""20210414\"",\""900044\""]""}"
21,1,2021-04,2021-04-15,900031,Synthetic demo credit sale 900031,,,0,,,0,,,,,4010,Demo Service Revenue,372520,B5,B5,33865,C004,Demo Customer Dawn,D01,Demo Sales,33,"[""20210415"",""900031""]",,33-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""33-C"",""d_cor_entryHeader"":""[\""20210415\"",\""900031\""]""}"
21,2,2021-04,2021-04-15,900031,Synthetic demo credit sale 900031,1200,Demo Accounts Receivable,372520,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,33,"[""20210415"",""900031""]",33-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""33-D"",""d_cor_entryHeader"":""[\""20210415\"",\""900031\""]""}"
22,1,2021-04,2021-04-15,900033,Synthetic demo customer receipt 900033,,,0,,,0,,,,,1200,Demo Accounts Receivable,341050,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,34,"[""20210415"",""900033""]",,34-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""34-C"",""d_cor_entryHeader"":""[\""20210415\"",\""900033\""]""}"
22,2,2021-04,2021-04-15,900033,Synthetic demo customer receipt 900033,1100,Demo Central Ordinary Deposit,341050,00,00,0,B001,Demo Central Bank,D01,Demo Sales,,,0,,,0,,,,,34,"[""20210415"",""900033""]",34-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""34-D"",""d_cor_entryHeader"":""[\""20210415\"",\""900033\""]""}"
23,1,2021-04,2021-04-15,900048,Synthetic demo operating expense 900048,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,132570,00,00,0,B001,Demo Central Bank,D02,Demo Administration,35,"[""20210415"",""900048""]",,35-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""35-C"",""d_cor_entryHeader"":""[\""20210415\"",\""900048\""]""}"
23,2,2021-04,2021-04-15,900048,Synthetic demo operating expense 900048,6140,Demo Vehicle Expense,132570,Q5,Q5,12052,V001,Demo Vendor Keystone,D02,Demo Administration,,,0,,,0,,,,,35,"[""20210415"",""900048""]",35-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""35-D"",""d_cor_entryHeader"":""[\""20210415\"",\""900048\""]""}"
24,1,2021-04,2021-04-15,900049,Synthetic demo multi-vendor settlement 900049,2000,Demo Accounts Payable,146320,00,00,0,V001,Demo Vendor Keystone,D01,Demo Sales,,,0,,,0,,,,,36,"[""20210415"",""900049""]",36-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""36-D"",""d_cor_entryHeader"":""[\""20210415\"",\""900049\""]""}"
24,2,2021-04,2021-04-15,900049,Synthetic demo multi-vendor settlement 900049,2100,Demo Accrued Payables,54120,00,00,0,V003,Demo Vendor Mosaic,D01,Demo Sales,,,0,,,0,,,,,37,"[""20210415"",""900049""]",37-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""37-D"",""d_cor_entryHeader"":""[\""20210415\"",\""900049\""]""}"
24,3,2021-04,2021-04-15,900049,Synthetic demo multi-vendor settlement 900049,,,0,,,0,,,,,1110,Demo North Current Deposit,156340,00,00,0,B002,North Demo Bank,D01,Demo Sales,38,"[""20210415"",""900049""]",,38-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""38-C"",""d_cor_entryHeader"":""[\""20210415\"",\""900049\""]""}"
24,4,2021-04,2021-04-15,900049,Synthetic demo multi-vendor settlement 900049,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,44100,00,00,0,B003,Harbor Demo Bank,D01,Demo Sales,39,"[""20210415"",""900049""]",,39-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""39-C"",""d_cor_entryHeader"":""[\""20210415\"",\""900049\""]""}"
25,1,2021-04,2021-04-16,900014,Synthetic demo customer receipt 900014,,,0,,,0,,,,,1200,Demo Accounts Receivable,270050,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,40,"[""20210416"",""900014""]",,40-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""40-C"",""d_cor_entryHeader"":""[\""20210416\"",\""900014\""]""}"
25,2,2021-04,2021-04-16,900014,Synthetic demo customer receipt 900014,1120,Demo Harbor Ordinary Deposit,270050,00,00,0,B003,Harbor Demo Bank,D01,Demo Sales,,,0,,,0,,,,,40,"[""20210416"",""900014""]",40-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""40-D"",""d_cor_entryHeader"":""[\""20210416\"",\""900014\""]""}"
26,1,2021-04,2021-04-16,900034,Synthetic demo mixed sales and receipt 900034,1110,Demo North Current Deposit,388000,00,00,0,B002,North Demo Bank,D01,Demo Sales,,,0,,,0,,,,,41,"[""20210416"",""900034""]",41-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""41-D"",""d_cor_entryHeader"":""[\""20210416\"",\""900034\""]""}"
26,2,2021-04,2021-04-16,900034,Synthetic demo mixed sales and receipt 900034,1200,Demo Accounts Receivable,280970,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,42,"[""20210416"",""900034""]",42-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""42-D"",""d_cor_entryHeader"":""[\""20210416\"",\""900034\""]""}"
26,3,2021-04,2021-04-16,900034,Synthetic demo mixed sales and receipt 900034,,,0,,,0,,,,,4000,Demo Product Sales,247510,B5,B5,22501,C006,Demo Customer Fjord,D01,Demo Sales,43,"[""20210416"",""900034""]",,43-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""43-C"",""d_cor_entryHeader"":""[\""20210416\"",\""900034\""]""}"
26,4,2021-04,2021-04-16,900034,Synthetic demo mixed sales and receipt 900034,,,0,,,0,,,,,4010,Demo Service Revenue,421460,R5,R5,31219,C007,Demo Customer Grove,D01,Demo Sales,44,"[""20210416"",""900034""]",,44-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""44-C"",""d_cor_entryHeader"":""[\""20210416\"",\""900034\""]""}"
