C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
1,"[""20211102"",""900454""]",744-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211102"",""900454""]",744-C,,,1,,,,,,,,,,,00,0
1,"[""20211102"",""900454""]",744-D,,,,,,,D,454500,,,,,,,
1,"[""20211102"",""900454""]",744-D,1,,,,,,,,1110,Demo North Current Deposit,,,,,
1,"[""20211102"",""900454""]",744-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211102"",""900454""]",744-D,1,2-auxiliary-account,,,,,,,,,B002,North Demo Bank,auxiliary-account,,
1,"[""20211102"",""900454""]",744-D,,,1,,,,,,,,,,,00,0
1,"[""20211104"",""900466""]",,,,,2021-11-04,900466,Synthetic demo purchase on account 900466,,,,,,,,,
1,"[""20211104"",""900466""]",745-C,,,,,,,C,363650,,,,,,,
1,"[""20211104"",""900466""]",745-C,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20211104"",""900466""]",745-C,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20211104"",""900466""]",745-C,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20211104"",""900466""]",745-C,,,1,,,,,,,,,,,00,0
1,"[""20211104"",""900466""]",745-D,,,,,,,D,363650,,,,,,,
1,"[""20211104"",""900466""]",745-D,1,,,,,,,,5010,Demo Freight-in,,,,,
1,"[""20211104"",""900466""]",745-D,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20211104"",""900466""]",745-D,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20211104"",""900466""]",745-D,,,1,,,,,,,,,,,Q5,33059
1,"[""20211105"",""900453""]",,,,,2021-11-05,900453,Synthetic demo customer receipt 900453,,,,,,,,,
1,"[""20211105"",""900453""]",746-C,,,,,,,C,343560,,,,,,,
1,"[""20211105"",""900453""]",746-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211105"",""900453""]",746-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211105"",""900453""]",746-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211105"",""900453""]",746-C,,,1,,,,,,,,,,,00,0
1,"[""20211105"",""900453""]",746-D,,,,,,,D,343560,,,,,,,
1,"[""20211105"",""900453""]",746-D,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20211105"",""900453""]",746-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211105"",""900453""]",746-D,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20211105"",""900453""]",746-D,,,1,,,,,,,,,,,00,0
1,"[""20211105"",""900462""]",,,,,2021-11-05,900462,Synthetic demo credit sale 900462,,,,,,,,,
1,"[""20211105"",""900462""]",747-C,,,,,,,C,236330,,,,,,,
1,"[""20211105"",""900462""]",747-C,1,,,,,,,,4000,Demo Product Sales,,,,,
1,"[""20211105"",""900462""]",747-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211105"",""900462""]",747-C,1,2-auxiliary-account,,,,,,,,,C007,Demo Customer Grove,auxiliary-account,,
1,"[""20211105"",""900462""]",747-C,,,1,,,,,,,,,,,B5,21485
1,"[""20211105"",""900462""]",747-D,,,,,,,D,236330,,,,,,,
1,"[""20211105"",""900462""]",747-D,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211105"",""900462""]",747-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211105"",""900462""]",747-D,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211105"",""900462""]",747-D,,,1,,,,,,,,,,,00,0
1,"[""20211105"",""900463""]",,,,,2021-11-05,900463,Synthetic demo customer receipt 900463,,,,,,,,,
1,"[""20211105"",""900463""]",748-C,,,,,,,C,81510,,,,,,,
1,"[""20211105"",""900463""]",748-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211105"",""900463""]",748-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211105"",""900463""]",748-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211105"",""900463""]",748-C,,,1,,,,,,,,,,,00,0
1,"[""20211105"",""900463""]",748-D,,,,,,,D,81510,,,,,,,
1,"[""20211105"",""900463""]",748-D,1,,,,,,,,1110,Demo North Current Deposit,,,,,
1,"[""20211105"",""900463""]",748-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211105"",""900463""]",748-D,1,2-auxiliary-account,,,,,,,,,B002,North Demo Bank,auxiliary-account,,
1,"[""20211105"",""900463""]",748-D,,,1,,,,,,,,,,,00,0
1,"[""20211106"",""900412""]",,,,,2021-11-06,900412,Synthetic demo credit sale 900412,,,,,,,,,
1,"[""20211106"",""900412""]",749-C,,,,,,,C,438890,,,,,,,
1,"[""20211106"",""900412""]",749-C,1,,,,,,,,4010,Demo Service Revenue,,,,,
1,"[""20211106"",""900412""]",749-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211106"",""900412""]",749-C,1,2-auxiliary-account,,,,,,,,,C007,Demo Customer Grove,auxiliary-account,,
1,"[""20211106"",""900412""]",749-C,,,1,,,,,,,,,,,B5,39899
1,"[""20211106"",""900412""]",749-D,,,,,,,D,438890,,,,,,,
1,"[""20211106"",""900412""]",749-D,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211106"",""900412""]",749-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211106"",""900412""]",749-D,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211106"",""900412""]",749-D,,,1,,,,,,,,,,,00,0
1,"[""20211106"",""900455""]",,,,,2021-11-06,900455,Synthetic demo multi-vendor settlement 900455,,,,,,,,,
1,"[""20211106"",""900455""]",750-D,,,,,,,D,232730,,,,,,,
1,"[""20211106"",""900455""]",750-D,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20211106"",""900455""]",750-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211106"",""900455""]",750-D,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20211106"",""900455""]",750-D,,,1,,,,,,,,,,,00,0
1,"[""20211106"",""900455""]",751-D,,,,,,,D,472520,,,,,,,
1,"[""20211106"",""900455""]",751-D,1,,,,,,,,2100,Demo Accrued Payables,,,,,
1,"[""20211106"",""900455""]",751-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211106"",""900455""]",751-D,1,2-auxiliary-account,,,,,,,,,V009,Demo Vendor Summit,auxiliary-account,,
1,"[""20211106"",""900455""]",751-D,,,1,,,,,,,,,,,00,0
1,"[""20211106"",""900455""]",752-C,,,,,,,C,472510,,,,,,,
1,"[""20211106"",""900455""]",752-C,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
1,"[""20211106"",""900455""]",752-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211106"",""900455""]",752-C,1,2-auxiliary-account,,,,,,,,,B003,Harbor Demo Bank,auxiliary-account,,
1,"[""20211106"",""900455""]",752-C,,,1,,,,,,,,,,,00,0
1,"[""20211106"",""900455""]",753-C,,,,,,,C,232740,,,,,,,
1,"[""20211106"",""900455""]",753-C,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20211106"",""900455""]",753-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211106"",""900455""]",753-C,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20211106"",""900455""]",753-C,,,1,,,,,,,,,,,00,0
1,"[""20211106"",""900465""]",,,,,2021-11-06,900465,Synthetic demo monthly payroll bundle 900465,,,,,,,,,
1,"[""20211106"",""900465""]",754-C,,,,,,,C,345220,,,,,,,
1,"[""20211106"",""900465""]",754-C,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20211106"",""900465""]",754-C,1,1-department,,,,,,,,,D02,Demo Administration,department,,
1,"[""20211106"",""900465""]",754-C,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20211106"",""900465""]",754-C,,,1,,,,,,,,,,,00,0
1,"[""20211106"",""900465""]",754-D,,,,,,,D,124270,,,,,,,
1,"[""20211106"",""900465""]",754-D,1,,,,,,,,6000,Demo Salaries,,,,,
1,"[""20211106"",""900465""]",754-D,1,1-department,,,,,,,,,D02,Demo Administration,department,,
1,"[""20211106"",""900465""]",754-D,,,1,,,,,,,,,,,00,0
1,"[""20211106"",""900465""]",755-D,,,,,,,D,69040,,,,,,,
1,"[""20211106"",""900465""]",755-D,1,,,,,,,,6010,Demo Statutory Welfare,,,,,
1,"[""20211106"",""900465""]",755-D,1,1-department,,,,,,,,,D02,Demo Administration,department,,
1,"[""20211106"",""900465""]",755-D,,,1,,,,,,,,,,,00,0
1,"[""20211106"",""900465""]",756-D,,,,,,,D,151910,,,,,,,
1,"[""20211106"",""900465""]",756-D,1,,,,,,,,2110,Demo Payroll Withholding,,,,,
1,"[""20211106"",""900465""]",756-D,1,1-department,,,,,,,,,D02,Demo Administration,department,,
1,"[""20211106"",""900465""]",756-D,,,1,,,,,,,,,,,00,0
1,"[""20211107"",""900439""]",,,,,2021-11-07,900439,Synthetic demo operating cost bundle 900439,,,,,,,,,
1,"[""20211107"",""900439""]",757-C,,,,,,,C,509690,,,,,,,
1,"[""20211107"",""900439""]",757-C,1,,,,,,,,1110,Demo North Current Deposit,,,,,
1,"[""20211107"",""900439""]",757-C,1,1-department,,,,,,,,,D03,Demo Operations,department,,
1,"[""20211107"",""900439""]",757-C,1,2-auxiliary-account,,,,,,,,,B002,North Demo Bank,auxiliary-account,,
1,"[""20211107"",""900439""]",757-C,,,1,,,,,,,,,,,00,0
1,"[""20211107"",""900439""]",757-D,,,,,,,D,127420,,,,,,,
1,"[""20211107"",""900439""]",757-D,1,,,,,,,,6030,Demo Utilities,,,,,
1,"[""20211107"",""900439""]",757-D,1,1-department,,,,,,,,,D03,Demo Operations,department,,
1,"[""20211107"",""900439""]",757-D,1,2-auxiliary-account,,,,,,,,,S002,Demo Energy Services,auxiliary-account,,
1,"[""20211107"",""900439""]",757-D,,,1,,,,,,,,,,,Q5,11584
1,"[""20211107"",""900439""]",758-D,,,,,,,D,168190,,,,,,,
1,"[""20211107"",""900439""]",758-D,1,,,,,,,,6040,Demo Communication,,,,,
1,"[""20211107"",""900439""]",758-D,1,1-department,,,,,,,,,D03,Demo Operations,department,,
1,"[""20211107"",""900439""]",758-D,1,2-auxiliary-account,,,,,,,,,S003,Demo Network Services,auxiliary-account,,
1,"[""20211107"",""900439""]",758-D,,,1,,,,,,,,,,,Q5,15290
1,"[""20211107"",""900439""]",759-D,,,,,,,D,214080,,,,,,,
1,"[""20211107"",""900439""]",759-D,1,,,,,,,,6060,Demo Office Supplies,,,,,
1,"[""20211107"",""900439""]",759-D,1,1-department,,,,,,,,,D03,Demo Operations,department,,
1,"[""20211107"",""900439""]",759-D,1,2-auxiliary-account,,,,,,,,,V010,Demo Vendor Tandem,auxiliary-account,,
1,"[""20211107"",""900439""]",759-D,,,1,,,,,,,,,,,Q5,19462
1,"[""20211107"",""900440""]",,,,,2021-11-07,900440,Synthetic demo credit sale 900440,,,,,,,,,
1,"[""20211107"",""900440""]",760-C,,,,,,,C,83210,,,,,,,
1,"[""20211107"",""900440""]",760-C,1,,,,,,,,4020,Demo Other Operating Revenue,,,,,
1,"[""20211107"",""900440""]",760-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211107"",""900440""]",760-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211107"",""900440""]",760-C,,,1,,,,,,,,,,,B5,7565
1,"[""20211107"",""900440""]",760-D,,,,,,,D,83210,,,,,,,
1,"[""20211107"",""900440""]",760-D,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211107"",""900440""]",760-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211107"",""900440""]",760-D,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211107"",""900440""]",760-D,,,1,,,,,,,,,,,00,0
1,"[""20211107"",""900443""]",,,,,2021-11-07,900443,Synthetic demo customer receipt 900443,,,,,,,,,
1,"[""20211107"",""900443""]",761-C,,,,,,,C,404850,,,,,,,
1,"[""20211107"",""900443""]",761-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211107"",""900443""]",761-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211107"",""900443""]",761-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211107"",""900443""]",761-C,,,1,,,,,,,,,,,00,0
1,"[""20211107"",""900443""]",761-D,,,,,,,D,404850,,,,,,,
1,"[""20211107"",""900443""]",761-D,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
1,"[""20211107"",""900443""]",761-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211107"",""900443""]",761-D,1,2-auxiliary-account,,,,,,,,,B003,Harbor Demo Bank,auxiliary-account,,
1,"[""20211107"",""900443""]",761-D,,,1,,,,,,,,,,,00,0
1,"[""20211107"",""900464""]",,,,,2021-11-07,900464,Synthetic demo customer receipt 900464,,,,,,,,,
1,"[""20211107"",""900464""]",762-C,,,,,,,C,121240,,,,,,,
1,"[""20211107"",""900464""]",762-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211107"",""900464""]",762-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211107"",""900464""]",762-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211107"",""900464""]",762-C,,,1,,,,,,,,,,,00,0
1,"[""20211107"",""900464""]",762-D,,,,,,,D,121240,,,,,,,
1,"[""20211107"",""900464""]",762-D,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
1,"[""20211107"",""900464""]",762-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211107"",""900464""]",762-D,1,2-auxiliary-account,,,,,,,,,B003,Harbor Demo Bank,auxiliary-account,,
1,"[""20211107"",""900464""]",762-D,,,1,,,,,,,,,,,00,0
1,"[""20211108"",""900449""]",,,,,2021-11-08,900449,Synthetic demo multi-vendor settlement 900449,,,,,,,,,
1,"[""20211108"",""900449""]",763-D,,,,,,,D,401520,,,,,,,
1,"[""20211108"",""900449""]",763-D,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20211108"",""900449""]",763-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211108"",""900449""]",763-D,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20211108"",""900449""]",763-D,,,1,,,,,,,,,,,00,0
1,"[""20211108"",""900449""]",764-D,,,,,,,D,156160,,,,,,,
1,"[""20211108"",""900449""]",764-D,1,,,,,,,,2100,Demo Accrued Payables,,,,,
1,"[""20211108"",""900449""]",764-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211108"",""900449""]",764-D,1,2-auxiliary-account,,,,,,,,,V003,Demo Vendor Mosaic,auxiliary-account,,
1,"[""20211108"",""900449""]",764-D,,,1,,,,,,,,,,,00,0
1,"[""20211108"",""900449""]",765-C,,,,,,,C,133840,,,,,,,
1,"[""20211108"",""900449""]",765-C,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
1,"[""20211108"",""900449""]",765-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211108"",""900449""]",765-C,1,2-auxiliary-account,,,,,,,,,B003,Harbor Demo Bank,auxiliary-account,,
1,"[""20211108"",""900449""]",765-C,,,1,,,,,,,,,,,00,0
1,"[""20211108"",""900449""]",766-C,,,,,,,C,423840,,,,,,,
1,"[""20211108"",""900449""]",766-C,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20211108"",""900449""]",766-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211108"",""900449""]",766-C,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20211108"",""900449""]",766-C,,,1,,,,,,,,,,,00,0
1,"[""20211109"",""900422""]",,,,,2021-11-09,900422,Synthetic demo credit sale 900422,,,,,,,,,
1,"[""20211109"",""900422""]",767-C,,,,,,,C,580680,,,,,,,
1,"[""20211109"",""900422""]",767-C,1,,,,,,,,4020,Demo Other Operating Revenue,,,,,
1,"[""20211109"",""900422""]",767-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211109"",""900422""]",767-C,1,2-auxiliary-account,,,,,,,,,C007,Demo Customer Grove,auxiliary-account,,
1,"[""20211109"",""900422""]",767-C,,,1,,,,,,,,,,,B5,52789
1,"[""20211109"",""900422""]",767-D,,,,,,,D,580680,,,,,,,
1,"[""20211109"",""900422""]",767-D,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211109"",""900422""]",767-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211109"",""900422""]",767-D,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211109"",""900422""]",767-D,,,1,,,,,,,,,,,00,0
1,"[""20211109"",""900423""]",,,,,2021-11-09,900423,Synthetic demo customer receipt 900423,,,,,,,,,
1,"[""20211109"",""900423""]",768-C,,,,,,,C,220510,,,,,,,
1,"[""20211109"",""900423""]",768-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211109"",""900423""]",768-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211109"",""900423""]",768-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211109"",""900423""]",768-C,,,1,,,,,,,,,,,00,0
1,"[""20211109"",""900423""]",768-D,,,,,,,D,220510,,,,,,,
1,"[""20211109"",""900423""]",768-D,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20211109"",""900423""]",768-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211109"",""900423""]",768-D,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20211109"",""900423""]",768-D,,,1,,,,,,,,,,,00,0
1,"[""20211109"",""900450""]",,,,,2021-11-09,900450,Synthetic demo credit sale 900450,,,,,,,,,
1,"[""20211109"",""900450""]",769-C,,,,,,,C,438240,,,,,,,
1,"[""20211109"",""900450""]",769-C,1,,,,,,,,4000,Demo Product Sales,,,,,
1,"[""20211109"",""900450""]",769-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211109"",""900450""]",769-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211109"",""900450""]",769-C,,,1,,,,,,,,,,,B5,39840
1,"[""20211109"",""900450""]",769-D,,,,,,,D,438240,,,,,,,
1,"[""20211109"",""900450""]",769-D,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211109"",""900450""]",769-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211109"",""900450""]",769-D,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211109"",""900450""]",769-D,,,1,,,,,,,,,,,00,0
1,"[""20211109"",""900451""]",,,,,2021-11-09,900451,Synthetic demo credit sale 900451,,,,,,,,,
1,"[""20211109"",""900451""]",770-C,,,,,,,C,300970,,,,,,,
1,"[""20211109"",""900451""]",770-C,1,,,,,,,,4010,Demo Service Revenue,,,,,
1,"[""20211109"",""900451""]",770-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211109"",""900451""]",770-C,1,2-auxiliary-account,,,,,,,,,C004,Demo Customer Dawn,auxiliary-account,,
1,"[""20211109"",""900451""]",770-C,,,1,,,,,,,,,,,B5,27361
1,"[""20211109"",""900451""]",770-D,,,,,,,D,300970,,,,,,,
1,"[""20211109"",""900451""]",770-D,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20211109"",""900451""]",770-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211109"",""900451""]",770-D,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20211109"",""900451""]",770-D,,,1,,,,,,,,,,,00,0
1,"[""20211110"",""900420""]",,,,,2021-11-10,900420,Synthetic demo monthly payroll bundle 900420,,,,,,,,,
1,"[""20211110"",""900420""]",771-C,,,,,,,C,300510,,,,,,,
1,"[""20211110"",""900420""]",771-C,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20211110"",""900420""]",771-C,1,1-department,,,,,,,,,D02,Demo Administration,department,,
1,"[""20211110"",""900420""]",771-C,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20211110"",""900420""]",771-C,,,1,,,,,,,,,,,00,0
1,"[""20211110"",""900420""]",771-D,,,,,,,D,123200,,,,,,,
1,"[""20211110"",""900420""]",771-D,1,,,,,,,,6000,Demo Salaries,,,,,
1,"[""20211110"",""900420""]",771-D,1,1-department,,,,,,,,,D02,Demo Administration,department,,
1,"[""20211110"",""900420""]",771-D,,,1,,,,,,,,,,,00,0
1,"[""20211110"",""900420""]",772-D,,,,,,,D,108180,,,,,,,
1,"[""20211110"",""900420""]",772-D,1,,,,,,,,6010,Demo Statutory Welfare,,,,,
1,"[""20211110"",""900420""]",772-D,1,1-department,,,,,,,,,D02,Demo Administration,department,,
1,"[""20211110"",""900420""]",772-D,,,1,,,,,,,,,,,00,0
1,"[""20211110"",""900420""]",773-D,,,,,,,D,69130,,,,,,,
1,"[""20211110"",""900420""]",773-D,1,,,,,,,,2110,Demo Payroll Withholding,,,,,
1,"[""20211110"",""900420""]",773-D,1,1-department,,,,,,,,,D02,Demo Administration,department,,
1,"[""20211110"",""900420""]",773-D,,,1,,,,,,,,,,,00,0
1,"[""20211110"",""900429""]",,,,,2021-11-10,900429,Synthetic demo prepaid service 900429,,,,,,,,,
1,"[""20211110"",""900429""]",774-C,,,,,,,C,79610,,,,,,,
1,"[""20211110"",""900429""]",774-C,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20211110"",""900429""]",774-C,1,1-department,,,,,,,,,D05,Demo Digital Services,department,,
