C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
2021-07-24,900183,387-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,405780,Synthetic demo customer receipt 900183
2021-07-24,900183,387-D,D,1100,Demo Central Ordinary Deposit,D01,Demo Sales,B001,Demo Central Bank,00,0,405780,Synthetic demo customer receipt 900183
2021-07-24,900187,388-D,D,2000,Demo Accounts Payable,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,92020,Synthetic demo multi-vendor settlement 900187
2021-07-24,900187,389-D,D,2100,Demo Accrued Payables,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,132420,Synthetic demo multi-vendor settlement 900187
2021-07-24,900187,390-C,C,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,107730,Synthetic demo multi-vendor settlement 900187
2021-07-24,900187,391-C,C,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,116710,Synthetic demo multi-vendor settlement 900187
2021-07-24,900223,392-D,D,2000,Demo Accounts Payable,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,243940,Synthetic demo multi-vendor settlement 900223
2021-07-24,900223,393-D,D,2100,Demo Accrued Payables,D01,Demo Sales,V007,Demo Vendor Quartz,00,0,298170,Synthetic demo multi-vendor settlement 900223
2021-07-24,900223,394-C,C,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,119260,Synthetic demo multi-vendor settlement 900223
2021-07-24,900223,395-C,C,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,422850,Synthetic demo multi-vendor settlement 900223
2021-07-25,900179,396-C,C,1120,Demo Harbor Ordinary Deposit,D05,Demo Digital Services,B003,Harbor Demo Bank,00,0,150410,Synthetic demo prepaid service 900179
2021-07-25,900179,396-D,D,1400,Demo Prepaid Expenses,D05,Demo Digital Services,S006,Demo Insurance Services,00,0,150410,Synthetic demo prepaid service 900179
2021-07-25,900214,397-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,214710,Synthetic demo customer receipt 900214
2021-07-25,900214,397-D,D,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,214710,Synthetic demo customer receipt 900214
2021-07-26,900203,398-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,411010,Synthetic demo customer receipt 900203
2021-07-26,900203,398-D,D,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,411010,Synthetic demo customer receipt 900203
2021-07-26,900230,399-C,C,4020,Demo Other Operating Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,21216,233380,Synthetic demo credit sale 900230
2021-07-26,900230,399-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,233380,Synthetic demo credit sale 900230
2021-07-28,900191,400-C,C,1120,Demo Harbor Ordinary Deposit,D06,Demo Management,B003,Harbor Demo Bank,00,0,474420,Synthetic demo financing settlement 900191
2021-07-28,900191,400-D,D,2200,Demo Short-term Loans,D06,Demo Management,,,00,0,284650,Synthetic demo financing settlement 900191
2021-07-28,900191,401-D,D,6070,Demo Bank Fees,D06,Demo Management,B003,Harbor Demo Bank,00,0,14230,Synthetic demo financing settlement 900191
2021-07-28,900191,402-D,D,7000,Demo Taxes and Dues,D06,Demo Management,,,P0,0,175540,Synthetic demo financing settlement 900191
2021-07-28,900216,403-D,D,1100,Demo Central Ordinary Deposit,D01,Demo Sales,B001,Demo Central Bank,00,0,125450,Synthetic demo mixed sales and receipt 900216
2021-07-28,900216,404-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,420010,Synthetic demo mixed sales and receipt 900216
2021-07-28,900216,405-C,C,4000,Demo Product Sales,D01,Demo Sales,C008,Demo Customer Halo,B5,35206,387270,Synthetic demo mixed sales and receipt 900216
2021-07-28,900216,406-C,C,4010,Demo Service Revenue,D01,Demo Sales,C009,Demo Customer Indigo,B5,14381,158190,Synthetic demo mixed sales and receipt 900216
2021-07-28,900220,407-C,C,4010,Demo Service Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,41691,458600,Synthetic demo credit sale 900220
2021-07-28,900220,407-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,458600,Synthetic demo credit sale 900220
2021-07-28,900222,408-C,C,4000,Demo Product Sales,D01,Demo Sales,C007,Demo Customer Grove,R5,44236,597180,Synthetic demo credit sale 900222
2021-07-28,900222,408-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,597180,Synthetic demo credit sale 900222
2021-07-28,900227,409-C,C,1120,Demo Harbor Ordinary Deposit,D04,Demo Logistics,B003,Harbor Demo Bank,00,0,336990,Synthetic demo vendor settlement 900227
2021-07-28,900227,409-D,D,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,336990,Synthetic demo vendor settlement 900227
2021-07-29,900202,410-C,C,4010,Demo Service Revenue,D01,Demo Sales,C007,Demo Customer Grove,B5,28859,317450,Synthetic demo credit sale 900202
2021-07-29,900202,410-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,317450,Synthetic demo credit sale 900202
2021-07-29,900205,411-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,62220,Synthetic demo purchase on account 900205
2021-07-29,900205,411-D,D,5010,Demo Freight-in,D04,Demo Logistics,V006,Demo Vendor Prairie,C5,5656,62220,Synthetic demo purchase on account 900205
2021-07-29,900207,412-C,C,1100,Demo Central Ordinary Deposit,D04,Demo Logistics,B001,Demo Central Bank,00,0,142340,Synthetic demo vendor settlement 900207
2021-07-29,900207,412-D,D,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,142340,Synthetic demo vendor settlement 900207
2021-07-30,900219,413-C,C,1100,Demo Central Ordinary Deposit,D02,Demo Administration,B001,Demo Central Bank,00,0,509620,Synthetic demo monthly payroll bundle 900219
2021-07-30,900219,413-D,D,6000,Demo Salaries,D02,Demo Administration,,,00,0,214040,Synthetic demo monthly payroll bundle 900219
2021-07-30,900219,414-D,D,6010,Demo Statutory Welfare,D02,Demo Administration,,,00,0,117210,Synthetic demo monthly payroll bundle 900219
2021-07-30,900219,415-D,D,2110,Demo Payroll Withholding,D02,Demo Administration,,,00,0,178370,Synthetic demo monthly payroll bundle 900219
2021-07-30,900232,416-C,C,1110,Demo North Current Deposit,D03,Demo Operations,B002,North Demo Bank,00,0,445020,Synthetic demo operating cost bundle 900232
2021-07-30,900232,416-D,D,6030,Demo Utilities,D03,Demo Operations,S002,Demo Energy Services,Q5,22251,244760,Synthetic demo operating cost bundle 900232
2021-07-30,900232,417-D,D,6040,Demo Communication,D03,Demo Operations,S003,Demo Network Services,Q5,7282,80100,Synthetic demo operating cost bundle 900232
2021-07-30,900232,418-D,D,6060,Demo Office Supplies,D03,Demo Operations,V003,Demo Vendor Mosaic,Q5,10924,120160,Synthetic demo operating cost bundle 900232
2021-07-31,900185,419-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,252490,Synthetic demo purchase on account 900185
2021-07-31,900185,419-D,D,5020,Demo Inventory Adjustment,D04,Demo Logistics,V006,Demo Vendor Prairie,Q5,22954,252490,Synthetic demo purchase on account 900185
2021-07-31,900208,420-C,C,1110,Demo North Current Deposit,D03,Demo Operations,B002,North Demo Bank,00,0,124060,Synthetic demo operating expense 900208
2021-07-31,900208,420-D,D,6120,Demo Professional Fees,D03,Demo Operations,V001,Demo Vendor Keystone,Q5,11278,124060,Synthetic demo operating expense 900208
2021-07-31,900217,421-C,C,1110,Demo North Current Deposit,D04,Demo Logistics,B002,North Demo Bank,00,0,99660,Synthetic demo vendor settlement 900217
2021-07-31,900217,421-D,D,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,99660,Synthetic demo vendor settlement 900217
2021-07-31,900229,422-D,D,2000,Demo Accounts Payable,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,469810,Synthetic demo multi-vendor settlement 900229
2021-07-31,900229,423-D,D,2100,Demo Accrued Payables,D01,Demo Sales,V003,Demo Vendor Mosaic,00,0,287950,Synthetic demo multi-vendor settlement 900229
2021-07-31,900229,424-C,C,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,409190,Synthetic demo multi-vendor settlement 900229
2021-07-31,900229,425-C,C,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,348570,Synthetic demo multi-vendor settlement 900229
