Open_Item_ID,Ledger_Type,Invoice_Document_ID,Invoice_Document_Number,Partner_Type,Partner_Code,Recognition_Date,Due_Date,Original_Amount,Applied_Amount,Open_Amount,Currency,Recognition_Basis,Journal_Transaction_ID,Journal_Line_ID,Status
OI-202104-900032-2-AR,AR,DOC-INV-202104-900032-2-AR,INV-202104-900032-2-AR,C,C001,2021-04-19,2021-05-28,104340,104340,0,JPY,control-account posting,34,2,SETTLED
OI-202104-900036-1-AP,AP,DOC-INV-202104-900036-1-AP,INV-202104-900036-1-AP,S,V001,2021-04-19,2021-05-28,68760,68760,0,JPY,control-account posting,35,1,SETTLED
OI-202104-900016-1-AP,AP,DOC-INV-202104-900016-1-AP,INV-202104-900016-1-AP,S,V001,2021-04-22,2021-05-28,241670,241670,0,JPY,control-account posting,41,1,SETTLED
OI-202104-900025-1-AP,AP,DOC-INV-202104-900025-1-AP,INV-202104-900025-1-AP,S,V001,2021-04-22,2021-05-28,187410,187410,0,JPY,control-account posting,43,1,SETTLED
OI-202104-900040-2-AR,AR,DOC-INV-202104-900040-2-AR,INV-202104-900040-2-AR,C,C001,2021-04-22,2021-05-28,164790,164790,0,JPY,control-account posting,44,2,SETTLED
OI-202104-900002-2-AR,AR,DOC-INV-202104-900002-2-AR,INV-202104-900002-2-AR,C,C001,2021-04-23,2021-05-28,152170,152170,0,JPY,control-account posting,45,2,SETTLED
OI-202104-900041-2-AR,AR,DOC-INV-202104-900041-2-AR,INV-202104-900041-2-AR,C,C001,2021-04-23,2021-05-28,97700,97700,0,JPY,control-account posting,46,2,SETTLED
OI-202104-900042-2-AR,AR,DOC-INV-202104-900042-2-AR,INV-202104-900042-2-AR,C,C001,2021-04-25,2021-05-28,70700,70700,0,JPY,control-account posting,51,2,SETTLED
OI-202104-900022-2-AR,AR,DOC-INV-202104-900022-2-AR,INV-202104-900022-2-AR,C,C001,2021-04-27,2021-05-28,545850,545850,0,JPY,control-account posting,54,2,SETTLED
OI-202104-900062-2-AR,AR,DOC-INV-202104-900062-2-AR,INV-202104-900062-2-AR,C,C001,2021-04-30,2021-05-28,525670,525670,0,JPY,control-account posting,62,2,SETTLED
OI-202105-900121-2-AR,AR,DOC-INV-202105-900121-2-AR,INV-202105-900121-2-AR,C,C001,2021-05-01,2021-06-28,440700,440700,0,JPY,control-account posting,2,2,SETTLED
OI-202105-900086-2-AR,AR,DOC-INV-202105-900086-2-AR,INV-202105-900086-2-AR,C,C001,2021-05-04,2021-06-28,535390,535390,0,JPY,control-account posting,6,2,SETTLED
OI-202105-900101-2-AR,AR,DOC-INV-202105-900101-2-AR,INV-202105-900101-2-AR,C,C001,2021-05-04,2021-06-28,266140,266140,0,JPY,control-account posting,9,2,SETTLED
OI-202105-900091-2-AR,AR,DOC-INV-202105-900091-2-AR,INV-202105-900091-2-AR,C,C001,2021-05-06,2021-06-28,124120,124120,0,JPY,control-account posting,11,2,SETTLED
OI-202105-900095-1-AP,AP,DOC-INV-202105-900095-1-AP,INV-202105-900095-1-AP,S,V001,2021-05-07,2021-06-28,350590,350590,0,JPY,control-account posting,12,1,SETTLED
OI-202105-900100-2-AR,AR,DOC-INV-202105-900100-2-AR,INV-202105-900100-2-AR,C,C001,2021-05-07,2021-06-28,536790,536790,0,JPY,control-account posting,13,2,SETTLED
OI-202105-900092-2-AR,AR,DOC-INV-202105-900092-2-AR,INV-202105-900092-2-AR,C,C001,2021-05-08,2021-06-28,569760,569760,0,JPY,control-account posting,14,2,SETTLED
OI-202105-900111-2-AR,AR,DOC-INV-202105-900111-2-AR,INV-202105-900111-2-AR,C,C001,2021-05-08,2021-06-28,311690,311690,0,JPY,control-account posting,15,2,SETTLED
OI-202105-900066-1-AP,AP,DOC-INV-202105-900066-1-AP,INV-202105-900066-1-AP,S,V001,2021-05-09,2021-06-28,51360,51360,0,JPY,control-account posting,16,1,SETTLED
OI-202105-900068-2-AR,AR,DOC-INV-202105-900068-2-AR,INV-202105-900068-2-AR,C,C001,2021-05-09,2021-06-28,91250,91250,0,JPY,control-account posting,17,2,SETTLED
OI-202105-900075-1-AP,AP,DOC-INV-202105-900075-1-AP,INV-202105-900075-1-AP,S,V001,2021-05-09,2021-06-28,379290,379290,0,JPY,control-account posting,18,1,SETTLED
OI-202105-900082-2-AR,AR,DOC-INV-202105-900082-2-AR,INV-202105-900082-2-AR,C,C001,2021-05-09,2021-06-28,355510,355510,0,JPY,control-account posting,19,2,SETTLED
OI-202105-900076-1-AP,AP,DOC-INV-202105-900076-1-AP,INV-202105-900076-1-AP,S,V001,2021-05-10,2021-06-28,161300,161300,0,JPY,control-account posting,21,1,SETTLED
OI-202105-900106-1-AP,AP,DOC-INV-202105-900106-1-AP,INV-202105-900106-1-AP,S,V001,2021-05-10,2021-06-28,182290,182290,0,JPY,control-account posting,23,1,SETTLED
OI-202105-900074-2-AR,AR,DOC-INV-202105-900074-2-AR,INV-202105-900074-2-AR,C,C001,2021-05-12,2021-06-28,71780,71780,0,JPY,control-account posting,25,2,SETTLED
OI-202105-900096-1-AP,AP,DOC-INV-202105-900096-1-AP,INV-202105-900096-1-AP,S,V001,2021-05-13,2021-06-28,183300,183300,0,JPY,control-account posting,27,1,SETTLED
OI-202105-900080-2-AR,AR,DOC-INV-202105-900080-2-AR,INV-202105-900080-2-AR,C,C001,2021-05-16,2021-06-28,324430,324430,0,JPY,control-account posting,32,2,SETTLED
OI-202105-900116-2-AR,AR,DOC-INV-202105-900116-2-AR,INV-202105-900116-2-AR,C,C001,2021-05-16,2021-06-28,181470,181470,0,JPY,control-account posting,33,2,SETTLED
OI-202105-900122-2-AR,AR,DOC-INV-202105-900122-2-AR,INV-202105-900122-2-AR,C,C001,2021-05-16,2021-06-28,114980,114980,0,JPY,control-account posting,34,2,SETTLED
OI-202105-900081-2-AR,AR,DOC-INV-202105-900081-2-AR,INV-202105-900081-2-AR,C,C001,2021-05-17,2021-06-28,267410,267410,0,JPY,control-account posting,35,2,SETTLED
OI-202105-900085-1-AP,AP,DOC-INV-202105-900085-1-AP,INV-202105-900085-1-AP,S,V001,2021-05-20,2021-06-28,209540,209540,0,JPY,control-account posting,39,1,SETTLED
OI-202105-900070-2-AR,AR,DOC-INV-202105-900070-2-AR,INV-202105-900070-2-AR,C,C001,2021-05-26,2021-06-28,237630,237630,0,JPY,control-account posting,50,2,SETTLED
OI-202105-900102-2-AR,AR,DOC-INV-202105-900102-2-AR,INV-202105-900102-2-AR,C,C001,2021-05-26,2021-06-28,482460,482460,0,JPY,control-account posting,51,2,SETTLED
OI-202105-900072-2-AR,AR,DOC-INV-202105-900072-2-AR,INV-202105-900072-2-AR,C,C001,2021-05-27,2021-06-28,396750,396750,0,JPY,control-account posting,53,2,SETTLED
OI-202105-900120-2-AR,AR,DOC-INV-202105-900120-2-AR,INV-202105-900120-2-AR,C,C001,2021-05-27,2021-06-28,97300,97300,0,JPY,control-account posting,55,2,SETTLED
OI-202105-900110-2-AR,AR,DOC-INV-202105-900110-2-AR,INV-202105-900110-2-AR,C,C001,2021-05-28,2021-06-28,240910,240910,0,JPY,control-account posting,56,2,SETTLED
OI-202105-900115-1-AP,AP,DOC-INV-202105-900115-1-AP,INV-202105-900115-1-AP,S,V001,2021-05-31,2021-06-28,36650,36650,0,JPY,control-account posting,60,1,SETTLED
OI-202106-900170-2-AR,AR,DOC-INV-202106-900170-2-AR,INV-202106-900170-2-AR,C,C001,2021-06-01,2021-07-28,431450,431450,0,JPY,control-account posting,3,2,SETTLED
OI-202106-900128-2-AR,AR,DOC-INV-202106-900128-2-AR,INV-202106-900128-2-AR,C,C001,2021-06-04,2021-07-28,131050,131050,0,JPY,control-account posting,9,2,SETTLED
OI-202106-900146-1-AP,AP,DOC-INV-202106-900146-1-AP,INV-202106-900146-1-AP,S,V001,2021-06-05,2021-07-28,321220,321220,0,JPY,control-account posting,10,1,SETTLED
OI-202106-900155-1-AP,AP,DOC-INV-202106-900155-1-AP,INV-202106-900155-1-AP,S,V001,2021-06-06,2021-07-28,308680,308680,0,JPY,control-account posting,13,1,SETTLED
OI-202106-900140-2-AR,AR,DOC-INV-202106-900140-2-AR,INV-202106-900140-2-AR,C,C001,2021-06-07,2021-07-28,470070,470070,0,JPY,control-account posting,14,2,SETTLED
OI-202106-900145-1-AP,AP,DOC-INV-202106-900145-1-AP,INV-202106-900145-1-AP,S,V001,2021-06-08,2021-07-28,295460,295460,0,JPY,control-account posting,16,1,SETTLED
OI-202106-900174-2-AR,AR,DOC-INV-202106-900174-2-AR,INV-202106-900174-2-AR,C,C001,2021-06-08,2021-07-28,169640,169640,0,JPY,control-account posting,17,2,SETTLED
OI-202106-900132-2-AR,AR,DOC-INV-202106-900132-2-AR,INV-202106-900132-2-AR,C,C001,2021-06-09,2021-07-28,593870,593870,0,JPY,control-account posting,18,2,SETTLED
OI-202106-900162-2-AR,AR,DOC-INV-202106-900162-2-AR,INV-202106-900162-2-AR,C,C001,2021-06-10,2021-07-28,412360,412360,0,JPY,control-account posting,23,2,SETTLED
OI-202106-900136-1-AP,AP,DOC-INV-202106-900136-1-AP,INV-202106-900136-1-AP,S,V001,2021-06-11,2021-07-28,311910,311910,0,JPY,control-account posting,25,1,SETTLED
OI-202106-900130-2-AR,AR,DOC-INV-202106-900130-2-AR,INV-202106-900130-2-AR,C,C001,2021-06-12,2021-07-28,196610,196610,0,JPY,control-account posting,27,2,SETTLED
OI-202106-900176-1-AP,AP,DOC-INV-202106-900176-1-AP,INV-202106-900176-1-AP,S,V001,2021-06-14,2021-07-28,78180,78180,0,JPY,control-account posting,32,1,SETTLED
OI-202106-900126-1-AP,AP,DOC-INV-202106-900126-1-AP,INV-202106-900126-1-AP,S,V001,2021-06-15,2021-07-28,99670,99670,0,JPY,control-account posting,34,1,SETTLED
OI-202106-900160-2-AR,AR,DOC-INV-202106-900160-2-AR,INV-202106-900160-2-AR,C,C001,2021-06-17,2021-07-28,172330,172330,0,JPY,control-account posting,35,2,SETTLED
OI-202106-900175-1-AP,AP,DOC-INV-202106-900175-1-AP,INV-202106-900175-1-AP,S,V001,2021-06-19,2021-07-28,123750,123750,0,JPY,control-account posting,38,1,SETTLED
OI-202106-900152-2-AR,AR,DOC-INV-202106-900152-2-AR,INV-202106-900152-2-AR,C,C001,2021-06-25,2021-07-28,503860,503860,0,JPY,control-account posting,44,2,SETTLED
OI-202106-900156-1-AP,AP,DOC-INV-202106-900156-1-AP,INV-202106-900156-1-AP,S,V001,2021-06-25,2021-07-28,207690,207690,0,JPY,control-account posting,45,1,SETTLED
OI-202106-900161-2-AR,AR,DOC-INV-202106-900161-2-AR,INV-202106-900161-2-AR,C,C001,2021-06-25,2021-07-28,98340,98340,0,JPY,control-account posting,47,2,SETTLED
OI-202106-900151-2-AR,AR,DOC-INV-202106-900151-2-AR,INV-202106-900151-2-AR,C,C001,2021-06-26,2021-07-28,102260,102260,0,JPY,control-account posting,48,2,SETTLED
OI-202106-900166-2-AR,AR,DOC-INV-202106-900166-2-AR,INV-202106-900166-2-AR,C,C001,2021-06-26,2021-07-28,175070,175070,0,JPY,control-account posting,49,2,SETTLED
OI-202106-900171-2-AR,AR,DOC-INV-202106-900171-2-AR,INV-202106-900171-2-AR,C,C001,2021-06-27,2021-07-28,168530,168530,0,JPY,control-account posting,50,2,SETTLED
OI-202106-900142-2-AR,AR,DOC-INV-202106-900142-2-AR,INV-202106-900142-2-AR,C,C001,2021-06-30,2021-07-28,399260,399260,0,JPY,control-account posting,54,2,SETTLED
OI-202106-900165-1-AP,AP,DOC-INV-202106-900165-1-AP,INV-202106-900165-1-AP,S,V001,2021-06-30,2021-07-28,129600,129600,0,JPY,control-account posting,55,1,SETTLED
OI-202107-900190-2-AR,AR,DOC-INV-202107-900190-2-AR,INV-202107-900190-2-AR,C,C001,2021-07-01,2021-08-28,322010,322010,0,JPY,control-account posting,2,2,SETTLED
OI-202107-900211-2-AR,AR,DOC-INV-202107-900211-2-AR,INV-202107-900211-2-AR,C,C001,2021-07-03,2021-08-28,417160,417160,0,JPY,control-account posting,3,2,SETTLED
OI-202107-900226-1-AP,AP,DOC-INV-202107-900226-1-AP,INV-202107-900226-1-AP,S,V001,2021-07-03,2021-08-28,84120,84120,0,JPY,control-account posting,4,1,SETTLED
OI-202107-900201-2-AR,AR,DOC-INV-202107-900201-2-AR,INV-202107-900201-2-AR,C,C001,2021-07-06,2021-08-28,452220,452220,0,JPY,control-account posting,9,2,SETTLED
OI-202107-900231-2-AR,AR,DOC-INV-202107-900231-2-AR,INV-202107-900231-2-AR,C,C001,2021-07-10,2021-08-28,292430,292430,0,JPY,control-account posting,11,2,SETTLED
OI-202107-900192-2-AR,AR,DOC-INV-202107-900192-2-AR,INV-202107-900192-2-AR,C,C001,2021-07-12,2021-08-28,264960,264960,0,JPY,control-account posting,14,2,SETTLED
OI-202107-900186-1-AP,AP,DOC-INV-202107-900186-1-AP,INV-202107-900186-1-AP,S,V001,2021-07-13,2021-08-28,272140,272140,0,JPY,control-account posting,15,1,SETTLED
OI-202107-900221-2-AR,AR,DOC-INV-202107-900221-2-AR,INV-202107-900221-2-AR,C,C001,2021-07-14,2021-08-28,383150,383150,0,JPY,control-account posting,19,2,SETTLED
OI-202107-900195-1-AP,AP,DOC-INV-202107-900195-1-AP,INV-202107-900195-1-AP,S,V001,2021-07-15,2021-08-28,106450,106450,0,JPY,control-account posting,20,1,SETTLED
OI-202107-900200-2-AR,AR,DOC-INV-202107-900200-2-AR,INV-202107-900200-2-AR,C,C001,2021-07-15,2021-08-28,269950,269950,0,JPY,control-account posting,21,2,SETTLED
OI-202107-900204-2-AR,AR,DOC-INV-202107-900204-2-AR,INV-202107-900204-2-AR,C,C001,2021-07-16,2021-08-28,56250,56250,0,JPY,control-account posting,22,2,SETTLED
OI-202107-900182-2-AR,AR,DOC-INV-202107-900182-2-AR,INV-202107-900182-2-AR,C,C001,2021-07-17,2021-08-28,303390,303390,0,JPY,control-account posting,24,2,SETTLED
OI-202107-900215-1-AP,AP,DOC-INV-202107-900215-1-AP,INV-202107-900215-1-AP,S,V001,2021-07-17,2021-08-28,289860,289860,0,JPY,control-account posting,25,1,SETTLED
OI-202107-900180-2-AR,AR,DOC-INV-202107-900180-2-AR,INV-202107-900180-2-AR,C,C001,2021-07-18,2021-08-28,399270,399270,0,JPY,control-account posting,27,2,SETTLED
OI-202107-900210-2-AR,AR,DOC-INV-202107-900210-2-AR,INV-202107-900210-2-AR,C,C001,2021-07-19,2021-08-28,240630,240630,0,JPY,control-account posting,32,2,SETTLED
OI-202107-900196-1-AP,AP,DOC-INV-202107-900196-1-AP,INV-202107-900196-1-AP,S,V001,2021-07-20,2021-08-28,263010,263010,0,JPY,control-account posting,33,1,SETTLED
OI-202107-900236-1-AP,AP,DOC-INV-202107-900236-1-AP,INV-202107-900236-1-AP,S,V001,2021-07-20,2021-08-28,58120,58120,0,JPY,control-account posting,37,1,SETTLED
OI-202107-900230-2-AR,AR,DOC-INV-202107-900230-2-AR,INV-202107-900230-2-AR,C,C001,2021-07-26,2021-08-28,233380,233380,0,JPY,control-account posting,45,2,SETTLED
OI-202107-900216-2-AR,AR,DOC-INV-202107-900216-2-AR,INV-202107-900216-2-AR,C,C001,2021-07-28,2021-08-28,420010,420010,0,JPY,control-account posting,47,2,SETTLED
OI-202107-900220-2-AR,AR,DOC-INV-202107-900220-2-AR,INV-202107-900220-2-AR,C,C001,2021-07-28,2021-08-28,458600,458600,0,JPY,control-account posting,48,2,SETTLED
OI-202107-900222-2-AR,AR,DOC-INV-202107-900222-2-AR,INV-202107-900222-2-AR,C,C001,2021-07-28,2021-08-28,597180,597180,0,JPY,control-account posting,49,2,SETTLED
OI-202107-900202-2-AR,AR,DOC-INV-202107-900202-2-AR,INV-202107-900202-2-AR,C,C001,2021-07-29,2021-08-28,317450,317450,0,JPY,control-account posting,51,2,SETTLED
OI-202107-900205-1-AP,AP,DOC-INV-202107-900205-1-AP,INV-202107-900205-1-AP,S,V001,2021-07-29,2021-08-28,62220,62220,0,JPY,control-account posting,52,1,SETTLED
OI-202107-900185-1-AP,AP,DOC-INV-202107-900185-1-AP,INV-202107-900185-1-AP,S,V001,2021-07-31,2021-08-28,252490,252490,0,JPY,control-account posting,56,1,SETTLED
OI-202108-900250-2-AR,AR,DOC-INV-202108-900250-2-AR,INV-202108-900250-2-AR,C,C001,2021-08-02,2021-09-28,366950,366950,0,JPY,control-account posting,3,2,SETTLED
OI-202108-900252-2-AR,AR,DOC-INV-202108-900252-2-AR,INV-202108-900252-2-AR,C,C001,2021-08-02,2021-09-28,583320,583320,0,JPY,control-account posting,4,2,SETTLED
OI-202108-900240-2-AR,AR,DOC-INV-202108-900240-2-AR,INV-202108-900240-2-AR,C,C001,2021-08-04,2021-09-28,378250,378250,0,JPY,control-account posting,6,2,SETTLED
OI-202108-900255-1-AP,AP,DOC-INV-202108-900255-1-AP,INV-202108-900255-1-AP,S,V001,2021-08-06,2021-09-28,149650,149650,0,JPY,control-account posting,11,1,SETTLED
OI-202108-900245-1-AP,AP,DOC-INV-202108-900245-1-AP,INV-202108-900245-1-AP,S,V001,2021-08-08,2021-09-28,189000,189000,0,JPY,control-account posting,14,1,SETTLED
OI-202108-900280-2-AR,AR,DOC-INV-202108-900280-2-AR,INV-202108-900280-2-AR,C,C001,2021-08-09,2021-09-28,532330,532330,0,JPY,control-account posting,16,2,SETTLED
OI-202108-900292-2-AR,AR,DOC-INV-202108-900292-2-AR,INV-202108-900292-2-AR,C,C001,2021-08-11,2021-09-28,282820,282820,0,JPY,control-account posting,18,2,SETTLED
OI-202108-900294-2-AR,AR,DOC-INV-202108-900294-2-AR,INV-202108-900294-2-AR,C,C001,2021-08-13,2021-09-28,130300,130300,0,JPY,control-account posting,24,2,SETTLED
OI-202108-900272-2-AR,AR,DOC-INV-202108-900272-2-AR,INV-202108-900272-2-AR,C,C001,2021-08-14,2021-09-28,284960,284960,0,JPY,control-account posting,25,2,SETTLED
OI-202108-900248-2-AR,AR,DOC-INV-202108-900248-2-AR,INV-202108-900248-2-AR,C,C001,2021-08-15,2021-09-28,104500,104500,0,JPY,control-account posting,27,2,SETTLED
OI-202108-900254-2-AR,AR,DOC-INV-202108-900254-2-AR,INV-202108-900254-2-AR,C,C001,2021-08-15,2021-09-28,85870,85870,0,JPY,control-account posting,28,2,SETTLED
OI-202108-900261-2-AR,AR,DOC-INV-202108-900261-2-AR,INV-202108-900261-2-AR,C,C001,2021-08-15,2021-09-28,268900,268900,0,JPY,control-account posting,29,2,SETTLED
OI-202108-900260-2-AR,AR,DOC-INV-202108-900260-2-AR,INV-202108-900260-2-AR,C,C001,2021-08-16,2021-09-28,109160,109160,0,JPY,control-account posting,30,2,SETTLED
OI-202108-900282-2-AR,AR,DOC-INV-202108-900282-2-AR,INV-202108-900282-2-AR,C,C001,2021-08-16,2021-09-28,146210,146210,0,JPY,control-account posting,31,2,SETTLED
OI-202108-900271-2-AR,AR,DOC-INV-202108-900271-2-AR,INV-202108-900271-2-AR,C,C001,2021-08-17,2021-09-28,316370,316370,0,JPY,control-account posting,33,2,SETTLED
OI-202108-900265-1-AP,AP,DOC-INV-202108-900265-1-AP,INV-202108-900265-1-AP,S,V001,2021-08-19,2021-09-28,96540,96540,0,JPY,control-account posting,40,1,SETTLED
OI-202108-900275-1-AP,AP,DOC-INV-202108-900275-1-AP,INV-202108-900275-1-AP,S,V001,2021-08-19,2021-09-28,330660,330660,0,JPY,control-account posting,41,1,SETTLED
OI-202108-900286-1-AP,AP,DOC-INV-202108-900286-1-AP,INV-202108-900286-1-AP,S,V001,2021-08-19,2021-09-28,63790,63790,0,JPY,control-account posting,42,1,SETTLED
OI-202108-900246-1-AP,AP,DOC-INV-202108-900246-1-AP,INV-202108-900246-1-AP,S,V001,2021-08-24,2021-09-28,31780,31780,0,JPY,control-account posting,48,1,SETTLED
OI-202108-900290-2-AR,AR,DOC-INV-202108-900290-2-AR,INV-202108-900290-2-AR,C,C001,2021-08-26,2021-09-28,444700,444700,0,JPY,control-account posting,50,2,SETTLED
OI-202108-900295-1-AP,AP,DOC-INV-202108-900295-1-AP,INV-202108-900295-1-AP,S,V001,2021-08-27,2021-09-28,334370,334370,0,JPY,control-account posting,52,1,SETTLED
OI-202108-900256-1-AP,AP,DOC-INV-202108-900256-1-AP,INV-202108-900256-1-AP,S,V001,2021-08-30,2021-09-28,333720,333720,0,JPY,control-account posting,54,1,SETTLED
OI-202108-900242-2-AR,AR,DOC-INV-202108-900242-2-AR,INV-202108-900242-2-AR,C,C001,2021-08-31,2021-09-28,62850,62850,0,JPY,control-account posting,56,2,SETTLED
OI-202108-900262-2-AR,AR,DOC-INV-202108-900262-2-AR,INV-202108-900262-2-AR,C,C001,2021-08-31,2021-09-28,263930,263930,0,JPY,control-account posting,57,2,SETTLED
OI-202108-900266-1-AP,AP,DOC-INV-202108-900266-1-AP,INV-202108-900266-1-AP,S,V001,2021-08-31,2021-09-28,371680,371680,0,JPY,control-account posting,58,1,SETTLED
OI-202109-900312-2-AR,AR,DOC-INV-202109-900312-2-AR,INV-202109-900312-2-AR,C,C001,2021-09-03,2021-10-28,381440,381440,0,JPY,control-account posting,5,2,SETTLED
OI-202109-900336-2-AR,AR,DOC-INV-202109-900336-2-AR,INV-202109-900336-2-AR,C,C001,2021-09-03,2021-10-28,283080,283080,0,JPY,control-account posting,6,2,SETTLED
OI-202109-900340-2-AR,AR,DOC-INV-202109-900340-2-AR,INV-202109-900340-2-AR,C,C001,2021-09-04,2021-10-28,556670,0,556670,JPY,control-account posting,9,2,UNSETTLED
OI-202109-900300-2-AR,AR,DOC-INV-202109-900300-2-AR,INV-202109-900300-2-AR,C,C001,2021-09-06,2021-10-28,153130,0,153130,JPY,control-account posting,12,2,UNSETTLED
OI-202109-900330-2-AR,AR,DOC-INV-202109-900330-2-AR,INV-202109-900330-2-AR,C,C001,2021-09-10,2021-10-28,195040,0,195040,JPY,control-account posting,19,2,UNSETTLED
OI-202109-900350-2-AR,AR,DOC-INV-202109-900350-2-AR,INV-202109-900350-2-AR,C,C001,2021-09-11,2021-10-28,314480,0,314480,JPY,control-account posting,20,2,UNSETTLED
OI-202109-900296-1-AP,AP,DOC-INV-202109-900296-1-AP,INV-202109-900296-1-AP,S,V001,2021-09-12,2021-10-28,258430,258430,0,JPY,control-account posting,21,1,SETTLED
OI-202109-900301-2-AR,AR,DOC-INV-202109-900301-2-AR,INV-202109-900301-2-AR,C,C001,2021-09-14,2021-10-28,168150,0,168150,JPY,control-account posting,23,2,UNSETTLED
OI-202109-900310-2-AR,AR,DOC-INV-202109-900310-2-AR,INV-202109-900310-2-AR,C,C001,2021-09-14,2021-10-28,110630,0,110630,JPY,control-account posting,25,2,UNSETTLED
OI-202109-900331-2-AR,AR,DOC-INV-202109-900331-2-AR,INV-202109-900331-2-AR,C,C001,2021-09-15,2021-10-28,118570,0,118570,JPY,control-account posting,27,2,UNSETTLED
OI-202109-900348-2-AR,AR,DOC-INV-202109-900348-2-AR,INV-202109-900348-2-AR,C,C001,2021-09-15,2021-10-28,160810,0,160810,JPY,control-account posting,28,2,UNSETTLED
OI-202109-900302-2-AR,AR,DOC-INV-202109-900302-2-AR,INV-202109-900302-2-AR,C,C001,2021-09-17,2021-10-28,450750,0,450750,JPY,control-account posting,32,2,UNSETTLED
OI-202109-900335-1-AP,AP,DOC-INV-202109-900335-1-AP,INV-202109-900335-1-AP,S,V001,2021-09-17,2021-10-28,178650,178650,0,JPY,control-account posting,35,1,SETTLED
