Account_Code,Account_Name,Category,eTax_Account_Code,eTax_Account_Name,eTax_Category
10E100100,Beginning Merchandise Inventory,Expenses,10E100100,Beginning Merchandise Inventory,Cost of Sales
10E100120,Purchase Discounts and Returns,Revenue,10E100120,Purchase Discounts and Returns,Cost of Sales
10E100130,Merchandise Purchases,Expenses,10E100130,Merchandise Purchases,Cost of Sales
10E100140,Ending Merchandise Inventory,Expenses,10E100140,Ending Merchandise Inventory,Cost of Sales
10E200020,Sales Commissions,Expenses,10E200020,Sales Commissions,"Selling, General and Administrative Expenses"
10E200050,Advertising Expenses,Expenses,10E200050,Advertising Expenses,"Selling, General and Administrative Expenses"
10E200090,Directors' Compensation,Expenses,10E200090,Directors' Compensation,"Selling, General and Administrative Expenses"
10E200130,Bonuses,Expenses,10E200130,Bonuses,"Selling, General and Administrative Expenses"
10E200140,Employee Welfare Expenses,Expenses,10E200140,Employee Welfare Expenses,"Selling, General and Administrative Expenses"
10E200150,Entertainment Expenses,Expenses,10E200150,Entertainment Expenses,"Selling, General and Administrative Expenses"
10E200180,Communication Expenses,Expenses,10E200180,Communication Expenses,"Selling, General and Administrative Expenses"
10E200200,Supplies Expenses,Expenses,10E200200,Supplies Expenses,"Selling, General and Administrative Expenses"
10E200210,Taxes and Dues,Expenses,10E200210,Taxes and Dues,"Selling, General and Administrative Expenses"
10E200220,Depreciation Expenses,Expenses,10E200220,Depreciation Expenses,"Selling, General and Administrative Expenses"
10E200240,Insurance Expenses,Expenses,10E200240,Insurance Expenses,"Selling, General and Administrative Expenses"
10E200370,Salaries and Allowances,Expenses,10E200370,Salaries and Allowances,"Selling, General and Administrative Expenses"
10E200520,Temporary Wages,Expenses,10E200520,Temporary Wages,"Selling, General and Administrative Expenses"
10E200540,Statutory Welfare Expenses,Expenses,10E200540,Statutory Welfare Expenses,"Selling, General and Administrative Expenses"
10E200600,Professional Fees,Expenses,10E200600,Professional Fees,"Selling, General and Administrative Expenses"
10E200690,Service Fees,Expenses,10E200690,Service Fees,"Selling, General and Administrative Expenses"
10E200720,Rent Expenses,Expenses,10E200720,Rent Expenses,"Selling, General and Administrative Expenses"
10E200730,Land and Building Rent,Expenses,10E200730,Land and Building Rent,"Selling, General and Administrative Expenses"
10E200870,Freight Expenses,Expenses,10E200870,Freight Expenses,"Selling, General and Administrative Expenses"
10E201000,Repairs and Maintenance,Expenses,10E201000,Repairs and Maintenance,"Selling, General and Administrative Expenses"
10E201040,Utilities Expenses,Expenses,10E201040,Utilities Expenses,"Selling, General and Administrative Expenses"
10E201110,Office Supplies Expenses,Expenses,10E201110,Office Supplies Expenses,"Selling, General and Administrative Expenses"
10E201120,Vehicle Expenses,Expenses,10E201120,Vehicle Expenses,"Selling, General and Administrative Expenses"
10E201130,Meeting Expenses,Expenses,10E201130,Meeting Expenses,"Selling, General and Administrative Expenses"
10E201140,Membership Fees,Expenses,10E201140,Membership Fees,"Selling, General and Administrative Expenses"
10E201160,Books and Publications,Expenses,10E201160,Books and Publications,"Selling, General and Administrative Expenses"
10E201230,Travel and Transportation Expenses,Expenses,10E201230,Travel and Transportation Expenses,"Selling, General and Administrative Expenses"
10E201270,Miscellaneous Expenses,Expenses,10E201270,Miscellaneous Expenses,"Selling, General and Administrative Expenses"
10E300020,Interest Expense,Expenses,10E300020,Interest Expense,Non-operating Expenses
10F100070,"Corporate, Inhabitant and Enterprise Taxes",Expenses,10F100070,"Corporate, Inhabitant and Enterprise Taxes",Other
