scope,partner_type,partner_code,invoice_month,invoice_transaction_id,invoice_line_id,invoice_document_date,invoice_document_id,invoice_document_number,settlement_month,settlement_transaction_id,settlement_line_id,settlement_document_date,settlement_document_id,settlement_document_number,amount,relationship
reference-to-reporting,C,5,2021-03,4018,1,2021-03-28,DOC-20210328-0011,,2021-05,458,2,2021-05-31,DOC-20210531-0068,,628,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,6,2021-02,4019,1,2021-02-28,DOC-20210228-0009,,2021-04,81,1,2021-04-15,DOC-20210415-0003,,1020783,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,6,2021-02,4020,1,2021-02-28,DOC-20210228-0010,,2021-04,81,2,2021-04-15,DOC-20210415-0004,,675,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,6,2021-02,4021,1,2021-02-28,DOC-20210228-0011,,2021-04,221,7,2021-04-30,DOC-20210430-0056,,27339,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,6,2021-03,4022,1,2021-03-28,DOC-20210328-0012,,2021-05,323,1,2021-05-15,DOC-20210515-0005,,1803863,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,6,2021-03,4023,1,2021-03-28,DOC-20210328-0013,,2021-05,323,2,2021-05-15,DOC-20210515-0006,,675,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,7,2021-02,4024,1,2021-02-28,DOC-20210228-0012,,2021-04,169,1,2021-04-25,DOC-20210425-0002,,1534105,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,7,2021-02,4025,1,2021-02-28,DOC-20210228-0013,,2021-04,169,2,2021-04-25,DOC-20210425-0003,,516,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,7,2021-03,4026,1,2021-03-28,DOC-20210328-0014,,2021-05,400,2,2021-05-25,DOC-20210525-0002,,917979,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,7,2021-03,4027,1,2021-03-28,DOC-20210328-0015,,2021-05,400,3,2021-05-25,DOC-20210525-0003,,516,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,7,2021-03,4028,1,2021-03-28,DOC-20210328-0016,,2021-05,454,7,2021-05-31,DOC-20210531-0059,,52097,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,9,2021-02,4029,1,2021-02-28,DOC-20210228-0014,,2021-04,82,1,2021-04-15,DOC-20210415-0005,,2584696,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,9,2021-02,4030,1,2021-02-28,DOC-20210228-0015,,2021-04,82,2,2021-04-15,DOC-20210415-0006,,642,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,9,2021-03,4031,1,2021-03-28,DOC-20210328-0017,,2021-05,325,1,2021-05-15,DOC-20210515-0007,,964992,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,9,2021-03,4032,1,2021-03-28,DOC-20210328-0018,,2021-05,325,2,2021-05-15,DOC-20210515-0008,,642,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,10,2021-03,4033,1,2021-03-28,DOC-20210328-0019,,2021-05,462,1,2021-05-31,DOC-20210531-0072,,79746,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,11,2021-03,4034,1,2021-03-28,DOC-20210328-0020,,2021-05,352,1,2021-05-20,DOC-20210520-0001,,7692848,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,11,2021-03,4035,1,2021-03-28,DOC-20210328-0021,,2021-05,453,12,2021-05-31,DOC-20210531-0057,,457392,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,12,2021-02,4036,1,2021-02-28,DOC-20210228-0016,,2021-04,220,10,2021-04-30,DOC-20210430-0055,,30547,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,12,2021-02,4037,1,2021-02-28,DOC-20210228-0017,,2021-04,226,1,2021-04-30,DOC-20210430-0062,,9017603,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,12,2021-03,4038,1,2021-03-28,DOC-20210328-0022,,2021-05,453,13,2021-05-31,DOC-20210531-0058,,46053,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,12,2021-03,4039,1,2021-03-28,DOC-20210328-0023,,2021-05,459,1,2021-05-31,DOC-20210531-0069,,9013134,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,13,2021-02,4040,1,2021-02-28,DOC-20210228-0018,,2021-04,83,1,2021-04-15,DOC-20210415-0007,,2114596,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,13,2021-02,4041,1,2021-02-28,DOC-20210228-0019,,2021-04,220,8,2021-04-30,DOC-20210430-0054,,53041,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,13,2021-03,4042,1,2021-03-28,DOC-20210328-0024,,2021-05,326,1,2021-05-15,DOC-20210515-0009,,1416402,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,14,2021-02,4043,1,2021-02-28,DOC-20210228-0020,,2021-04,55,1,2021-04-10,DOC-20210410-0004,,13888575,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,14,2021-02,4044,1,2021-02-28,DOC-20210228-0021,,2021-04,55,2,2021-04-10,DOC-20210410-0005,,633,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,14,2021-03,4045,1,2021-03-28,DOC-20210328-0025,,2021-05,287,1,2021-05-10,DOC-20210510-0004,,10891695,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,14,2021-03,4046,1,2021-03-28,DOC-20210328-0026,,2021-05,287,2,2021-05-10,DOC-20210510-0005,,633,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,14,2021-03,4047,1,2021-03-28,DOC-20210328-0027,,2021-05,455,9,2021-05-31,DOC-20210531-0060,,23708,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,14,2021-03,4048,1,2021-03-28,DOC-20210328-0028,,2021-05,456,5,2021-05-31,DOC-20210531-0063,,26544,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,19,2021-02,4049,1,2021-02-28,DOC-20210228-0022,,2021-04,52,1,2021-04-10,DOC-20210410-0001,,1080093,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,19,2021-02,4050,1,2021-02-28,DOC-20210228-0023,,2021-04,52,2,2021-04-10,DOC-20210410-0002,,556,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,19,2021-03,4051,1,2021-03-28,DOC-20210328-0029,,2021-05,284,1,2021-05-10,DOC-20210510-0001,,1420826,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,19,2021-03,4052,1,2021-03-28,DOC-20210328-0030,,2021-05,284,2,2021-05-10,DOC-20210510-0002,,556,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,20,2021-02,4053,1,2021-02-28,DOC-20210228-0024,,2021-04,84,1,2021-04-15,DOC-20210415-0008,,1770912,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,20,2021-02,4054,1,2021-02-28,DOC-20210228-0025,,2021-04,84,2,2021-04-15,DOC-20210415-0009,,492,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,20,2021-03,4055,1,2021-03-28,DOC-20210328-0031,,2021-05,321,1,2021-05-15,DOC-20210515-0001,,1237604,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,20,2021-03,4056,1,2021-03-28,DOC-20210328-0032,,2021-05,321,2,2021-05-15,DOC-20210515-0002,,246,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,20,2021-03,4057,1,2021-03-28,DOC-20210328-0033,,2021-05,455,10,2021-05-31,DOC-20210531-0061,,16860,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,21,2021-03,4058,1,2021-03-28,DOC-20210328-0034,,2021-05,353,1,2021-05-20,DOC-20210520-0002,,3431500,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,21,2021-03,4059,1,2021-03-28,DOC-20210328-0035,,2021-05,353,2,2021-05-20,DOC-20210520-0003,,3910,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,22,2021-02,4060,1,2021-02-28,DOC-20210228-0026,,2021-04,13,1,2021-04-05,DOC-20210405-0001,,2380294,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,22,2021-02,4061,1,2021-02-28,DOC-20210228-0027,,2021-04,13,2,2021-04-05,DOC-20210405-0002,,507,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,22,2021-03,4062,1,2021-03-28,DOC-20210328-0036,,2021-05,256,1,2021-05-05,DOC-20210505-0001,,879279,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,22,2021-03,4063,1,2021-03-28,DOC-20210328-0037,,2021-05,256,2,2021-05-05,DOC-20210505-0002,,380,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,24,2021-03,4064,1,2021-03-28,DOC-20210328-0038,,2021-05,460,1,2021-05-31,DOC-20210531-0070,,45710,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,24,2021-03,4065,1,2021-03-28,DOC-20210328-0039,,2021-05,460,2,2021-05-31,DOC-20210531-0071,,64,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,25,2021-02,4066,1,2021-02-28,DOC-20210228-0028,,2021-04,170,1,2021-04-25,DOC-20210425-0004,,4660833,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,25,2021-02,4067,1,2021-02-28,DOC-20210228-0029,,2021-04,170,2,2021-04-25,DOC-20210425-0005,,590,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,25,2021-03,4068,1,2021-03-28,DOC-20210328-0040,,2021-05,402,1,2021-05-25,DOC-20210525-0004,,2701441,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,25,2021-03,4069,1,2021-03-28,DOC-20210328-0041,,2021-05,402,2,2021-05-25,DOC-20210525-0005,,590,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,25,2021-03,4070,1,2021-03-28,DOC-20210328-0042,,2021-05,452,4,2021-05-31,DOC-20210531-0053,,71597,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,26,2021-02,4071,1,2021-02-28,DOC-20210228-0030,,2021-04,14,1,2021-04-05,DOC-20210405-0003,,1206280,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,26,2021-02,4072,1,2021-02-28,DOC-20210228-0031,,2021-04,14,2,2021-04-05,DOC-20210405-0004,,377,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,26,2021-03,4073,1,2021-03-28,DOC-20210328-0043,,2021-05,257,1,2021-05-05,DOC-20210505-0003,,2111325,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,26,2021-03,4074,1,2021-03-28,DOC-20210328-0044,,2021-05,257,2,2021-05-05,DOC-20210505-0004,,504,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,26,2021-03,4075,1,2021-03-28,DOC-20210328-0045,,2021-05,453,10,2021-05-31,DOC-20210531-0055,,26104,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,27,2021-02,4076,1,2021-02-28,DOC-20210228-0032,,2021-04,15,1,2021-04-05,DOC-20210405-0005,,1419759,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,27,2021-02,4077,1,2021-02-28,DOC-20210228-0033,,2021-04,15,2,2021-04-05,DOC-20210405-0006,,481,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,27,2021-03,4078,1,2021-03-28,DOC-20210328-0046,,2021-05,258,1,2021-05-05,DOC-20210505-0005,,888509,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,28,2021-02,4079,1,2021-02-28,DOC-20210228-0034,,2021-04,53,1,2021-04-10,DOC-20210410-0003,,6441963,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,28,2021-02,4080,1,2021-02-28,DOC-20210228-0035,,2021-04,222,9,2021-04-30,DOC-20210430-0057,,20058,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,28,2021-03,4081,1,2021-03-28,DOC-20210328-0047,,2021-05,285,1,2021-05-10,DOC-20210510-0003,,6856797,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,28,2021-03,4082,1,2021-03-28,DOC-20210328-0048,,2021-05,455,11,2021-05-31,DOC-20210531-0062,,14749,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,30,2021-02,4083,1,2021-02-28,DOC-20210228-0036,,2021-04,120,1,2021-04-20,DOC-20210420-0001,,2497755,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,30,2021-02,4084,1,2021-02-28,DOC-20210228-0037,,2021-04,120,2,2021-04-20,DOC-20210420-0002,,575,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,30,2021-03,4085,1,2021-03-28,DOC-20210328-0049,,2021-05,354,1,2021-05-20,DOC-20210520-0004,,2012328,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,30,2021-03,4086,1,2021-03-28,DOC-20210328-0050,,2021-05,354,2,2021-05-20,DOC-20210520-0005,,575,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,1,2021-02,4087,1,2021-02-28,DOC-20210228-0038,,2021-04,85,1,2021-04-15,DOC-20210415-0010,,3557473,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,1,2021-02,4088,1,2021-02-28,DOC-20210228-0039,,2021-04,228,8,2021-04-30,DOC-20210430-0063,,73207,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,1,2021-03,4089,1,2021-03-28,DOC-20210328-0051,,2021-05,327,1,2021-05-15,DOC-20210515-0010,,4297106,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,2,2021-02,4090,1,2021-02-28,DOC-20210228-0040,,2021-04,237,1,2021-04-30,DOC-20210430-0075,,1829520,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,2,2021-03,4091,1,2021-03-28,DOC-20210328-0052,,2021-05,468,1,2021-05-31,DOC-20210531-0079,,1115850,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,3,2021-02,4092,1,2021-02-28,DOC-20210228-0041,,2021-04,56,1,2021-04-10,DOC-20210410-0006,,10297986,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,3,2021-02,4093,1,2021-02-28,DOC-20210228-0042,,2021-04,228,10,2021-04-30,DOC-20210430-0064,,30289,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,3,2021-03,4094,1,2021-03-28,DOC-20210328-0053,,2021-05,288,1,2021-05-10,DOC-20210510-0006,,1928189,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,3,2021-03,4095,1,2021-03-28,DOC-20210328-0054,,2021-05,464,10,2021-05-31,DOC-20210531-0074,,113407,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,4,2021-02,4096,1,2021-02-28,DOC-20210228-0043,,2021-04,121,1,2021-04-20,DOC-20210420-0003,,1416910,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,4,2021-03,4097,1,2021-03-28,DOC-20210328-0055,,2021-05,355,1,2021-05-20,DOC-20210520-0006,,905555,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,5,2021-02,4098,1,2021-02-28,DOC-20210228-0044,,2021-04,230,9,2021-04-30,DOC-20210430-0069,,21674,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,5,2021-02,4099,1,2021-02-28,DOC-20210228-0045,,2021-04,238,1,2021-04-30,DOC-20210430-0076,,5237507,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,5,2021-03,4100,1,2021-03-28,DOC-20210328-0056,,2021-05,466,8,2021-05-31,DOC-20210531-0078,,22176,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,5,2021-03,4101,1,2021-03-28,DOC-20210328-0057,,2021-05,469,1,2021-05-31,DOC-20210531-0080,,3467360,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,6,2021-02,4102,1,2021-02-28,DOC-20210228-0046,,2021-04,122,1,2021-04-20,DOC-20210420-0004,,3596039,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,6,2021-02,4103,1,2021-02-28,DOC-20210228-0047,,2021-04,230,8,2021-04-30,DOC-20210430-0068,,22478,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,6,2021-03,4104,1,2021-03-28,DOC-20210328-0058,,2021-05,356,1,2021-05-20,DOC-20210520-0007,,5204428,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,7,2021-02,4105,1,2021-02-28,DOC-20210228-0048,,2021-04,239,1,2021-04-30,DOC-20210430-0077,,5522383,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,7,2021-03,4106,1,2021-03-28,DOC-20210328-0059,,2021-05,465,5,2021-05-31,DOC-20210531-0076,,17337,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,7,2021-03,4107,1,2021-03-28,DOC-20210328-0060,,2021-05,470,1,2021-05-31,DOC-20210531-0081,,3387545,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,8,2021-02,4108,1,2021-02-28,DOC-20210228-0049,,2021-04,57,1,2021-04-10,DOC-20210410-0007,,402696,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,8,2021-03,4109,1,2021-03-28,DOC-20210328-0061,,2021-05,289,1,2021-05-10,DOC-20210510-0007,,634838,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,9,2021-02,4110,1,2021-02-28,DOC-20210228-0050,,2021-04,229,7,2021-04-30,DOC-20210430-0066,,11793,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,9,2021-02,4111,1,2021-02-28,DOC-20210228-0051,,2021-04,240,1,2021-04-30,DOC-20210430-0078,,2599235,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,9,2021-03,4112,1,2021-03-28,DOC-20210328-0062,,2021-05,465,4,2021-05-31,DOC-20210531-0075,,12903,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,9,2021-03,4113,1,2021-03-28,DOC-20210328-0063,,2021-05,471,1,2021-05-31,DOC-20210531-0082,,1744898,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,10,2021-02,4114,1,2021-02-28,DOC-20210228-0052,,2021-04,230,3,2021-04-30,DOC-20210430-0067,,34587,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,10,2021-02,4115,1,2021-02-28,DOC-20210228-0053,,2021-04,232,1,2021-04-30,DOC-20210430-0070,,4640751,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,10,2021-03,4116,1,2021-03-28,DOC-20210328-0064,,2021-05,466,6,2021-05-31,DOC-20210531-0077,,56044,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,10,2021-03,4117,1,2021-03-28,DOC-20210328-0065,,2021-05,472,1,2021-05-31,DOC-20210531-0083,,2926580,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,11,2021-02,4118,1,2021-02-28,DOC-20210228-0054,,2021-04,123,1,2021-04-20,DOC-20210420-0005,,6181724,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,11,2021-03,4119,1,2021-03-28,DOC-20210328-0066,,2021-05,357,1,2021-05-20,DOC-20210520-0008,,4109548,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,11,2021-03,4120,1,2021-03-28,DOC-20210328-0067,,2021-05,464,3,2021-05-31,DOC-20210531-0073,,42386,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,12,2021-02,4121,1,2021-02-28,DOC-20210228-0055,,2021-04,233,1,2021-04-30,DOC-20210430-0071,,497372,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,12,2021-03,4122,1,2021-03-28,DOC-20210328-0068,,2021-05,473,1,2021-05-31,DOC-20210531-0084,,322812,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,13,2021-02,4123,1,2021-02-28,DOC-20210228-0056,,2021-04,234,1,2021-04-30,DOC-20210430-0072,,1370598,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,13,2021-03,4124,1,2021-03-28,DOC-20210328-0069,,2021-05,474,1,2021-05-31,DOC-20210531-0085,,1985810,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,14,2021-02,4125,1,2021-02-28,DOC-20210228-0057,,2021-04,235,1,2021-04-30,DOC-20210430-0073,,4036321,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,14,2021-03,4126,1,2021-03-28,DOC-20210328-0070,,2021-05,475,1,2021-05-31,DOC-20210531-0086,,2584863,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,15,2021-02,4127,1,2021-02-28,DOC-20210228-0058,,2021-04,229,5,2021-04-30,DOC-20210430-0065,,16968,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,15,2021-02,4128,1,2021-02-28,DOC-20210228-0059,,2021-04,236,1,2021-04-30,DOC-20210430-0074,,1710087,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,S,15,2021-03,4129,1,2021-03-28,DOC-20210328-0071,,2021-05,476,1,2021-05-31,DOC-20210531-0087,,1130334,generated-prior-invoice-to-reporting-settlement
reporting,C,1,2021-04,223,1,2021-04-30,DOC-20210430-0027,,2021-06,555,1,2021-06-15,DOC-20210615-0001,,1476232,reporting-invoice-to-reporting-settlement
reporting,C,2,2021-04,220,1,2021-04-30,DOC-20210430-0004,,2021-06,635,1,2021-06-25,DOC-20210625-0001,,13321782,reporting-invoice-to-reporting-settlement
reporting,C,3,2021-04,222,1,2021-04-30,DOC-20210430-0019,,2021-06,3002,1,2021-06-30,DOC-20210630-0071,,736072,reporting-invoice-to-reporting-settlement
reporting,C,4,2021-04,222,2,2021-04-30,DOC-20210430-0020,,2021-06,685,9,2021-06-30,DOC-20210630-0057,,1200768,reporting-invoice-to-reporting-settlement
reporting,C,5,2021-04,219,1,2021-04-30,DOC-20210430-0001,,2021-06,688,1,2021-06-30,DOC-20210630-0058,,1536384,reporting-invoice-to-reporting-settlement
reporting,C,6,2021-04,221,1,2021-04-30,DOC-20210430-0013,,2021-06,556,1,2021-06-15,DOC-20210615-0002,,1054408,reporting-invoice-to-reporting-settlement
reporting,C,7,2021-04,221,2,2021-04-30,DOC-20210430-0014,,2021-06,636,1,2021-06-25,DOC-20210625-0002,,1246560,reporting-invoice-to-reporting-settlement
reporting,C,8,2021-04,222,3,2021-04-30,DOC-20210430-0021,,2021-06,557,1,2021-06-15,DOC-20210615-0003,,942912,reporting-invoice-to-reporting-settlement
reporting,C,9,2021-04,222,4,2021-04-30,DOC-20210430-0022,,2021-06,558,1,2021-06-15,DOC-20210615-0004,,1202528,reporting-invoice-to-reporting-settlement
reporting,C,10,2021-04,220,9,2021-04-30,DOC-20210430-0011,,2021-06,692,1,2021-06-30,DOC-20210630-0061,,359744,reporting-invoice-to-reporting-settlement
reporting,C,11,2021-04,220,3,2021-04-30,DOC-20210430-0006,,2021-06,593,1,2021-06-20,DOC-20210620-0001,,620476,reporting-invoice-to-reporting-settlement
reporting,C,12,2021-04,220,2,2021-04-30,DOC-20210430-0005,,2021-06,683,11,2021-06-30,DOC-20210630-0055,,10846514,reporting-invoice-to-reporting-settlement
reporting,C,13,2021-04,220,4,2021-04-30,DOC-20210430-0007,,2021-06,559,1,2021-06-15,DOC-20210615-0005,,1671612,reporting-invoice-to-reporting-settlement
reporting,C,14,2021-04,219,3,2021-04-30,DOC-20210430-0003,,2021-06,532,1,2021-06-10,DOC-20210610-0003,,1418200,reporting-invoice-to-reporting-settlement
reporting,C,14,2021-04,220,5,2021-04-30,DOC-20210430-0008,,2021-06,532,2,2021-06-10,DOC-20210610-0004,,2064894,reporting-invoice-to-reporting-settlement
reporting,C,14,2021-04,221,3,2021-04-30,DOC-20210430-0015,,2021-06,682,4,2021-06-30,DOC-20210630-0054,,1260302,reporting-invoice-to-reporting-settlement
reporting,C,14,2021-04,222,5,2021-04-30,DOC-20210430-0023,,2021-06,684,7,2021-06-30,DOC-20210630-0056,,1526316,reporting-invoice-to-reporting-settlement
reporting,C,14,2021-04,223,2,2021-04-30,DOC-20210430-0028,,2021-06,3003,1,2021-06-30,DOC-20210630-0072,,1081720,reporting-invoice-to-reporting-settlement
reporting,C,19,2021-04,221,4,2021-04-30,DOC-20210430-0016,,2021-06,529,1,2021-06-10,DOC-20210610-0001,,818910,reporting-invoice-to-reporting-settlement
