Journal_Document_Link_ID,Transaction_ID,Line_ID,Document_ID,Relationship_Type,Link_Amount,Recognition_Basis
JDL-202105-900082-2-AR,19,2,DOC-INV-202105-900082-2-AR,INVOICE,355510,explicit control-account line
JDL-202105-900099-1-AP,20,1,DOC-SET-202105-900099-1-AP,SETTLEMENT,176880,explicit control-account line
JDL-202105-900076-1-AP,21,1,DOC-INV-202105-900076-1-AP,INVOICE,161300,explicit control-account line
JDL-202105-900077-2-AP,22,2,DOC-SET-202105-900077-2-AP,SETTLEMENT,147100,explicit control-account line
JDL-202105-900106-1-AP,23,1,DOC-INV-202105-900106-1-AP,INVOICE,182290,explicit control-account line
JDL-202105-900074-2-AR,25,2,DOC-INV-202105-900074-2-AR,INVOICE,71780,explicit control-account line
JDL-202105-900096-1-AP,27,1,DOC-INV-202105-900096-1-AP,INVOICE,183300,explicit control-account line
JDL-202105-900073-1-AR,28,1,DOC-SET-202105-900073-1-AR,SETTLEMENT,289520,explicit control-account line
JDL-202105-900067-2-AP,29,2,DOC-SET-202105-900067-2-AP,SETTLEMENT,134370,explicit control-account line
JDL-202105-900117-2-AP,31,2,DOC-SET-202105-900117-2-AP,SETTLEMENT,103780,explicit control-account line
JDL-202105-900080-2-AR,32,2,DOC-INV-202105-900080-2-AR,INVOICE,324430,explicit control-account line
JDL-202105-900116-2-AR,33,2,DOC-INV-202105-900116-2-AR,INVOICE,181470,explicit control-account line
JDL-202105-900122-2-AR,34,2,DOC-INV-202105-900122-2-AR,INVOICE,114980,explicit control-account line
JDL-202105-900081-2-AR,35,2,DOC-INV-202105-900081-2-AR,INVOICE,267410,explicit control-account line
JDL-202105-900113-1-AR,37,1,DOC-SET-202105-900113-1-AR,SETTLEMENT,343570,explicit control-account line
JDL-202105-900085-1-AP,39,1,DOC-INV-202105-900085-1-AP,INVOICE,209540,explicit control-account line
JDL-202105-900087-2-AP,40,2,DOC-SET-202105-900087-2-AP,SETTLEMENT,25360,explicit control-account line
JDL-202105-900064-1-AR,41,1,DOC-SET-202105-900064-1-AR,SETTLEMENT,497600,explicit control-account line
JDL-202105-900104-1-AR,43,1,DOC-SET-202105-900104-1-AR,SETTLEMENT,106650,explicit control-account line
JDL-202105-900083-1-AR,45,1,DOC-SET-202105-900083-1-AR,SETTLEMENT,192450,explicit control-account line
JDL-202105-900107-2-AP,46,2,DOC-SET-202105-900107-2-AP,SETTLEMENT,182360,explicit control-account line
JDL-202105-900063-1-AR,47,1,DOC-SET-202105-900063-1-AR,SETTLEMENT,348220,explicit control-account line
JDL-202105-900114-1-AR,48,1,DOC-SET-202105-900114-1-AR,SETTLEMENT,254150,explicit control-account line
JDL-202105-900109-1-AP,49,1,DOC-SET-202105-900109-1-AP,SETTLEMENT,120280,explicit control-account line
JDL-202105-900070-2-AR,50,2,DOC-INV-202105-900070-2-AR,INVOICE,237630,explicit control-account line
JDL-202105-900102-2-AR,51,2,DOC-INV-202105-900102-2-AR,INVOICE,482460,explicit control-account line
JDL-202105-900103-1-AP,52,1,DOC-SET-202105-900103-1-AP,SETTLEMENT,347920,explicit control-account line
JDL-202105-900072-2-AR,53,2,DOC-INV-202105-900072-2-AR,INVOICE,396750,explicit control-account line
JDL-202105-900120-2-AR,55,2,DOC-INV-202105-900120-2-AR,INVOICE,97300,explicit control-account line
JDL-202105-900110-2-AR,56,2,DOC-INV-202105-900110-2-AR,INVOICE,240910,explicit control-account line
JDL-202105-900093-1-AP,58,1,DOC-SET-202105-900093-1-AP,SETTLEMENT,135240,explicit control-account line
JDL-202105-900115-1-AP,60,1,DOC-INV-202105-900115-1-AP,INVOICE,36650,explicit control-account line
JDL-202106-900143-1-AR,1,1,DOC-SET-202106-900143-1-AR,SETTLEMENT,163200,explicit control-account line
JDL-202106-900170-2-AR,3,2,DOC-INV-202106-900170-2-AR,INVOICE,431450,explicit control-account line
JDL-202106-900124-1-AR,4,1,DOC-SET-202106-900124-1-AR,SETTLEMENT,100030,explicit control-account line
JDL-202106-900133-1-AR,5,1,DOC-SET-202106-900133-1-AR,SETTLEMENT,211410,explicit control-account line
JDL-202106-900167-2-AP,6,2,DOC-SET-202106-900167-2-AP,SETTLEMENT,98770,explicit control-account line
JDL-202106-900169-1-AR,7,1,DOC-SET-202106-900169-1-AR,SETTLEMENT,153850,explicit control-account line
JDL-202106-900169-3-AR,7,3,DOC-SET-202106-900169-3-AR,SETTLEMENT,12300,explicit control-account line
JDL-202106-900169-4-AR,7,4,DOC-SET-202106-900169-4-AR,SETTLEMENT,141550,explicit control-account line
JDL-202106-900154-1-AR,8,1,DOC-SET-202106-900154-1-AR,SETTLEMENT,126120,explicit control-account line
JDL-202106-900128-2-AR,9,2,DOC-INV-202106-900128-2-AR,INVOICE,131050,explicit control-account line
JDL-202106-900146-1-AP,10,1,DOC-INV-202106-900146-1-AP,INVOICE,321220,explicit control-account line
JDL-202106-900155-1-AP,13,1,DOC-INV-202106-900155-1-AP,INVOICE,308680,explicit control-account line
JDL-202106-900140-2-AR,14,2,DOC-INV-202106-900140-2-AR,INVOICE,470070,explicit control-account line
JDL-202106-900173-1-AR,15,1,DOC-SET-202106-900173-1-AR,SETTLEMENT,70630,explicit control-account line
JDL-202106-900145-1-AP,16,1,DOC-INV-202106-900145-1-AP,INVOICE,295460,explicit control-account line
JDL-202106-900174-2-AR,17,2,DOC-INV-202106-900174-2-AR,INVOICE,169640,explicit control-account line
JDL-202106-900132-2-AR,18,2,DOC-INV-202106-900132-2-AR,INVOICE,593870,explicit control-account line
JDL-202106-900153-1-AP,19,1,DOC-SET-202106-900153-1-AP,SETTLEMENT,156360,explicit control-account line
JDL-202106-900141-1-AP,21,1,DOC-SET-202106-900141-1-AP,SETTLEMENT,163090,explicit control-account line
JDL-202106-900162-2-AR,23,2,DOC-INV-202106-900162-2-AR,INVOICE,412360,explicit control-account line
JDL-202106-900136-1-AP,25,1,DOC-INV-202106-900136-1-AP,INVOICE,311910,explicit control-account line
JDL-202106-900164-1-AR,26,1,DOC-SET-202106-900164-1-AR,SETTLEMENT,172860,explicit control-account line
JDL-202106-900130-2-AR,27,2,DOC-INV-202106-900130-2-AR,INVOICE,196610,explicit control-account line
JDL-202106-900123-1-AR,30,1,DOC-SET-202106-900123-1-AR,SETTLEMENT,276130,explicit control-account line
JDL-202106-900176-1-AP,32,1,DOC-INV-202106-900176-1-AP,INVOICE,78180,explicit control-account line
JDL-202106-900126-1-AP,34,1,DOC-INV-202106-900126-1-AP,INVOICE,99670,explicit control-account line
JDL-202106-900160-2-AR,35,2,DOC-INV-202106-900160-2-AR,INVOICE,172330,explicit control-account line
JDL-202106-900134-1-AR,36,1,DOC-SET-202106-900134-1-AR,SETTLEMENT,145720,explicit control-account line
JDL-202106-900147-1-AP,37,1,DOC-SET-202106-900147-1-AP,SETTLEMENT,219780,explicit control-account line
JDL-202106-900175-1-AP,38,1,DOC-INV-202106-900175-1-AP,INVOICE,123750,explicit control-account line
JDL-202106-900135-1-AP,40,1,DOC-SET-202106-900135-1-AP,SETTLEMENT,406490,explicit control-account line
JDL-202106-900177-2-AP,42,2,DOC-SET-202106-900177-2-AP,SETTLEMENT,211780,explicit control-account line
JDL-202106-900152-2-AR,44,2,DOC-INV-202106-900152-2-AR,INVOICE,503860,explicit control-account line
JDL-202106-900156-1-AP,45,1,DOC-INV-202106-900156-1-AP,INVOICE,207690,explicit control-account line
JDL-202106-900161-2-AR,47,2,DOC-INV-202106-900161-2-AR,INVOICE,98340,explicit control-account line
JDL-202106-900151-2-AR,48,2,DOC-INV-202106-900151-2-AR,INVOICE,102260,explicit control-account line
JDL-202106-900166-2-AR,49,2,DOC-INV-202106-900166-2-AR,INVOICE,175070,explicit control-account line
JDL-202106-900171-2-AR,50,2,DOC-INV-202106-900171-2-AR,INVOICE,168530,explicit control-account line
JDL-202106-900127-2-AP,53,2,DOC-SET-202106-900127-2-AP,SETTLEMENT,357230,explicit control-account line
JDL-202106-900142-2-AR,54,2,DOC-INV-202106-900142-2-AR,INVOICE,399260,explicit control-account line
JDL-202106-900165-1-AP,55,1,DOC-INV-202106-900165-1-AP,INVOICE,129600,explicit control-account line
JDL-202107-900190-2-AR,2,2,DOC-INV-202107-900190-2-AR,INVOICE,322010,explicit control-account line
JDL-202107-900211-2-AR,3,2,DOC-INV-202107-900211-2-AR,INVOICE,417160,explicit control-account line
JDL-202107-900226-1-AP,4,1,DOC-INV-202107-900226-1-AP,INVOICE,84120,explicit control-account line
JDL-202107-900235-1-AP,5,1,DOC-SET-202107-900235-1-AP,SETTLEMENT,135020,explicit control-account line
JDL-202107-900194-1-AR,8,1,DOC-SET-202107-900194-1-AR,SETTLEMENT,426780,explicit control-account line
JDL-202107-900201-2-AR,9,2,DOC-INV-202107-900201-2-AR,INVOICE,452220,explicit control-account line
JDL-202107-900231-2-AR,11,2,DOC-INV-202107-900231-2-AR,INVOICE,292430,explicit control-account line
JDL-202107-900199-1-AP,12,1,DOC-SET-202107-900199-1-AP,SETTLEMENT,72970,explicit control-account line
JDL-202107-900181-1-AP,13,1,DOC-SET-202107-900181-1-AP,SETTLEMENT,248190,explicit control-account line
JDL-202107-900192-2-AR,14,2,DOC-INV-202107-900192-2-AR,INVOICE,264960,explicit control-account line
JDL-202107-900186-1-AP,15,1,DOC-INV-202107-900186-1-AP,INVOICE,272140,explicit control-account line
JDL-202107-900234-1-AR,17,1,DOC-SET-202107-900234-1-AR,SETTLEMENT,398450,explicit control-account line
JDL-202107-900221-2-AR,19,2,DOC-INV-202107-900221-2-AR,INVOICE,383150,explicit control-account line
JDL-202107-900195-1-AP,20,1,DOC-INV-202107-900195-1-AP,INVOICE,106450,explicit control-account line
JDL-202107-900200-2-AR,21,2,DOC-INV-202107-900200-2-AR,INVOICE,269950,explicit control-account line
JDL-202107-900204-2-AR,22,2,DOC-INV-202107-900204-2-AR,INVOICE,56250,explicit control-account line
JDL-202107-900182-2-AR,24,2,DOC-INV-202107-900182-2-AR,INVOICE,303390,explicit control-account line
JDL-202107-900215-1-AP,25,1,DOC-INV-202107-900215-1-AP,INVOICE,289860,explicit control-account line
JDL-202107-900233-1-AR,26,1,DOC-SET-202107-900233-1-AR,SETTLEMENT,368740,explicit control-account line
JDL-202107-900180-2-AR,27,2,DOC-INV-202107-900180-2-AR,INVOICE,399270,explicit control-account line
JDL-202107-900193-1-AP,28,1,DOC-SET-202107-900193-1-AP,SETTLEMENT,228590,explicit control-account line
JDL-202107-900210-2-AR,32,2,DOC-INV-202107-900210-2-AR,INVOICE,240630,explicit control-account line
JDL-202107-900196-1-AP,33,1,DOC-INV-202107-900196-1-AP,INVOICE,263010,explicit control-account line
JDL-202107-900213-1-AR,35,1,DOC-SET-202107-900213-1-AR,SETTLEMENT,170730,explicit control-account line
JDL-202107-900224-1-AR,36,1,DOC-SET-202107-900224-1-AR,SETTLEMENT,316120,explicit control-account line
JDL-202107-900236-1-AP,37,1,DOC-INV-202107-900236-1-AP,INVOICE,58120,explicit control-account line
JDL-202107-900237-2-AP,38,2,DOC-SET-202107-900237-2-AP,SETTLEMENT,84300,explicit control-account line
JDL-202107-900183-1-AR,39,1,DOC-SET-202107-900183-1-AR,SETTLEMENT,405780,explicit control-account line
JDL-202107-900187-1-AP,40,1,DOC-SET-202107-900187-1-AP,SETTLEMENT,92020,explicit control-account line
JDL-202107-900223-1-AP,41,1,DOC-SET-202107-900223-1-AP,SETTLEMENT,243940,explicit control-account line
JDL-202107-900214-1-AR,43,1,DOC-SET-202107-900214-1-AR,SETTLEMENT,214710,explicit control-account line
JDL-202107-900203-1-AR,44,1,DOC-SET-202107-900203-1-AR,SETTLEMENT,411010,explicit control-account line
JDL-202107-900230-2-AR,45,2,DOC-INV-202107-900230-2-AR,INVOICE,233380,explicit control-account line
JDL-202107-900216-2-AR,47,2,DOC-INV-202107-900216-2-AR,INVOICE,420010,explicit control-account line
JDL-202107-900220-2-AR,48,2,DOC-INV-202107-900220-2-AR,INVOICE,458600,explicit control-account line
JDL-202107-900222-2-AR,49,2,DOC-INV-202107-900222-2-AR,INVOICE,597180,explicit control-account line
JDL-202107-900227-2-AP,50,2,DOC-SET-202107-900227-2-AP,SETTLEMENT,336990,explicit control-account line
JDL-202107-900202-2-AR,51,2,DOC-INV-202107-900202-2-AR,INVOICE,317450,explicit control-account line
JDL-202107-900205-1-AP,52,1,DOC-INV-202107-900205-1-AP,INVOICE,62220,explicit control-account line
JDL-202107-900207-2-AP,53,2,DOC-SET-202107-900207-2-AP,SETTLEMENT,142340,explicit control-account line
JDL-202107-900185-1-AP,56,1,DOC-INV-202107-900185-1-AP,INVOICE,252490,explicit control-account line
JDL-202107-900217-2-AP,58,2,DOC-SET-202107-900217-2-AP,SETTLEMENT,99660,explicit control-account line
JDL-202107-900229-1-AP,59,1,DOC-SET-202107-900229-1-AP,SETTLEMENT,469810,explicit control-account line
JDL-202108-900274-1-AR,1,1,DOC-SET-202108-900274-1-AR,SETTLEMENT,417370,explicit control-account line
JDL-202108-900241-1-AP,2,1,DOC-SET-202108-900241-1-AP,SETTLEMENT,90560,explicit control-account line
JDL-202108-900250-2-AR,3,2,DOC-INV-202108-900250-2-AR,INVOICE,366950,explicit control-account line
JDL-202108-900252-2-AR,4,2,DOC-INV-202108-900252-2-AR,INVOICE,583320,explicit control-account line
JDL-202108-900240-2-AR,6,2,DOC-INV-202108-900240-2-AR,INVOICE,378250,explicit control-account line
JDL-202108-900277-2-AP,9,2,DOC-SET-202108-900277-2-AP,SETTLEMENT,34910,explicit control-account line
JDL-202108-900273-1-AP,10,1,DOC-SET-202108-900273-1-AP,SETTLEMENT,184040,explicit control-account line
JDL-202108-900255-1-AP,11,1,DOC-INV-202108-900255-1-AP,INVOICE,149650,explicit control-account line
JDL-202108-900245-1-AP,14,1,DOC-INV-202108-900245-1-AP,INVOICE,189000,explicit control-account line
JDL-202108-900280-2-AR,16,2,DOC-INV-202108-900280-2-AR,INVOICE,532330,explicit control-account line
JDL-202108-900292-2-AR,18,2,DOC-INV-202108-900292-2-AR,INVOICE,282820,explicit control-account line
JDL-202108-900287-1-AP,20,1,DOC-SET-202108-900287-1-AP,SETTLEMENT,262520,explicit control-account line
JDL-202108-900253-1-AR,21,1,DOC-SET-202108-900253-1-AR,SETTLEMENT,179710,explicit control-account line
JDL-202108-900283-1-AR,23,1,DOC-SET-202108-900283-1-AR,SETTLEMENT,237520,explicit control-account line
JDL-202108-900294-2-AR,24,2,DOC-INV-202108-900294-2-AR,INVOICE,130300,explicit control-account line
JDL-202108-900272-2-AR,25,2,DOC-INV-202108-900272-2-AR,INVOICE,284960,explicit control-account line
JDL-202108-900248-2-AR,27,2,DOC-INV-202108-900248-2-AR,INVOICE,104500,explicit control-account line
JDL-202108-900254-2-AR,28,2,DOC-INV-202108-900254-2-AR,INVOICE,85870,explicit control-account line
JDL-202108-900261-2-AR,29,2,DOC-INV-202108-900261-2-AR,INVOICE,268900,explicit control-account line
JDL-202108-900260-2-AR,30,2,DOC-INV-202108-900260-2-AR,INVOICE,109160,explicit control-account line
JDL-202108-900282-2-AR,31,2,DOC-INV-202108-900282-2-AR,INVOICE,146210,explicit control-account line
JDL-202108-900271-2-AR,33,2,DOC-INV-202108-900271-2-AR,INVOICE,316370,explicit control-account line
JDL-202108-900284-1-AR,34,1,DOC-SET-202108-900284-1-AR,SETTLEMENT,182170,explicit control-account line
JDL-202108-900247-2-AP,36,2,DOC-SET-202108-900247-2-AP,SETTLEMENT,120360,explicit control-account line
JDL-202108-900276-1-AR,37,1,DOC-SET-202108-900276-1-AR,SETTLEMENT,148340,explicit control-account line
JDL-202108-900276-3-AR,37,3,DOC-SET-202108-900276-3-AR,SETTLEMENT,35600,explicit control-account line
JDL-202108-900276-4-AR,37,4,DOC-SET-202108-900276-4-AR,SETTLEMENT,409430,explicit control-account line
JDL-202108-900281-1-AP,38,1,DOC-SET-202108-900281-1-AP,SETTLEMENT,360210,explicit control-account line
JDL-202108-900265-1-AP,40,1,DOC-INV-202108-900265-1-AP,INVOICE,96540,explicit control-account line
JDL-202108-900275-1-AP,41,1,DOC-INV-202108-900275-1-AP,INVOICE,330660,explicit control-account line
JDL-202108-900286-1-AP,42,1,DOC-INV-202108-900286-1-AP,INVOICE,63790,explicit control-account line
JDL-202108-900243-1-AR,44,1,DOC-SET-202108-900243-1-AR,SETTLEMENT,511200,explicit control-account line
JDL-202108-900263-1-AR,46,1,DOC-SET-202108-900263-1-AR,SETTLEMENT,415340,explicit control-account line
JDL-202108-900293-1-AR,47,1,DOC-SET-202108-900293-1-AR,SETTLEMENT,434210,explicit control-account line
JDL-202108-900246-1-AP,48,1,DOC-INV-202108-900246-1-AP,INVOICE,31780,explicit control-account line
JDL-202108-900267-1-AP,49,1,DOC-SET-202108-900267-1-AP,SETTLEMENT,334530,explicit control-account line
JDL-202108-900290-2-AR,50,2,DOC-INV-202108-900290-2-AR,INVOICE,444700,explicit control-account line
JDL-202108-900295-1-AP,52,1,DOC-INV-202108-900295-1-AP,INVOICE,334370,explicit control-account line
JDL-202108-900256-1-AP,54,1,DOC-INV-202108-900256-1-AP,INVOICE,333720,explicit control-account line
JDL-202108-900242-2-AR,56,2,DOC-INV-202108-900242-2-AR,INVOICE,62850,explicit control-account line
JDL-202108-900262-2-AR,57,2,DOC-INV-202108-900262-2-AR,INVOICE,263930,explicit control-account line
JDL-202108-900266-1-AP,58,1,DOC-INV-202108-900266-1-AP,INVOICE,371680,explicit control-account line
JDL-202109-900343-1-AR,3,1,DOC-SET-202109-900343-1-AR,SETTLEMENT,290130,explicit control-account line
JDL-202109-900312-2-AR,5,2,DOC-INV-202109-900312-2-AR,INVOICE,381440,explicit control-account line
JDL-202109-900336-2-AR,6,2,DOC-INV-202109-900336-2-AR,INVOICE,283080,explicit control-account line
JDL-202109-900324-1-AR,8,1,DOC-SET-202109-900324-1-AR,SETTLEMENT,382510,explicit control-account line
JDL-202109-900340-2-AR,9,2,DOC-INV-202109-900340-2-AR,INVOICE,556670,explicit control-account line
JDL-202109-900300-2-AR,12,2,DOC-INV-202109-900300-2-AR,INVOICE,153130,explicit control-account line
JDL-202109-900353-1-AR,14,1,DOC-SET-202109-900353-1-AR,SETTLEMENT,386200,explicit control-account line
JDL-202109-900327-2-AP,15,2,DOC-SET-202109-900327-2-AP,SETTLEMENT,168360,explicit control-account line
JDL-202109-900314-1-AR,16,1,DOC-SET-202109-900314-1-AR,SETTLEMENT,87980,explicit control-account line
JDL-202109-900317-1-AP,18,1,DOC-SET-202109-900317-1-AP,SETTLEMENT,123380,explicit control-account line
JDL-202109-900330-2-AR,19,2,DOC-INV-202109-900330-2-AR,INVOICE,195040,explicit control-account line
JDL-202109-900350-2-AR,20,2,DOC-INV-202109-900350-2-AR,INVOICE,314480,explicit control-account line
JDL-202109-900296-1-AP,21,1,DOC-INV-202109-900296-1-AP,INVOICE,258430,explicit control-account line
JDL-202109-900329-1-AP,22,1,DOC-SET-202109-900329-1-AP,SETTLEMENT,138360,explicit control-account line
JDL-202109-900301-2-AR,23,2,DOC-INV-202109-900301-2-AR,INVOICE,168150,explicit control-account line
JDL-202109-900310-2-AR,25,2,DOC-INV-202109-900310-2-AR,INVOICE,110630,explicit control-account line
JDL-202109-900331-2-AR,27,2,DOC-INV-202109-900331-2-AR,INVOICE,118570,explicit control-account line
JDL-202109-900348-2-AR,28,2,DOC-INV-202109-900348-2-AR,INVOICE,160810,explicit control-account line
JDL-202109-900323-1-AP,30,1,DOC-SET-202109-900323-1-AP,SETTLEMENT,44500,explicit control-account line
JDL-202109-900302-2-AR,32,2,DOC-INV-202109-900302-2-AR,INVOICE,450750,explicit control-account line
JDL-202109-900334-1-AR,34,1,DOC-SET-202109-900334-1-AR,SETTLEMENT,92990,explicit control-account line
JDL-202109-900335-1-AP,35,1,DOC-INV-202109-900335-1-AP,INVOICE,178650,explicit control-account line
JDL-202109-900344-1-AR,36,1,DOC-SET-202109-900344-1-AR,SETTLEMENT,112580,explicit control-account line
JDL-202109-900346-1-AP,37,1,DOC-INV-202109-900346-1-AP,INVOICE,332620,explicit control-account line
