Month,Ledger_Account_Number,Ledger_Account_Name,Beginning_Balance,Debit_Amount,Credit_Amount,Ending_Balance,eTax_Category
2021-10,10E200520,Temporary Wages,2157927,511380,0,2669307,"Selling, General and Administrative Expenses"
2021-10,10E200540,Statutory Welfare Expenses,4869714,721981,0,5591695,"Selling, General and Administrative Expenses"
2021-10,10E200600,Professional Fees,838260,139710,0,977970,"Selling, General and Administrative Expenses"
2021-10,10E200690,Service Fees,71762,12021,0,83783,"Selling, General and Administrative Expenses"
2021-10,10E200720,Rent Expenses,20664000,3449000,0,24113000,"Selling, General and Administrative Expenses"
2021-10,10E200730,Land and Building Rent,1469250,587700,0,2056950,"Selling, General and Administrative Expenses"
2021-10,10E200870,Freight Expenses,21674568,3809965,0,25484533,"Selling, General and Administrative Expenses"
2021-10,10E201000,Repairs and Maintenance,247950,35850,0,283800,"Selling, General and Administrative Expenses"
2021-10,10E201040,Utilities Expenses,3495166,570843,0,4066009,"Selling, General and Administrative Expenses"
2021-10,10E201110,Office Supplies Expenses,791804,107382,0,899186,"Selling, General and Administrative Expenses"
2021-10,10E201120,Vehicle Expenses,3624090,641028,0,4265118,"Selling, General and Administrative Expenses"
2021-10,10E201130,Meeting Expenses,180449,24995,0,205444,"Selling, General and Administrative Expenses"
2021-10,10E201140,Membership Fees,696000,116000,0,812000,"Selling, General and Administrative Expenses"
2021-10,10E201160,Books and Publications,149892,24982,0,174874,"Selling, General and Administrative Expenses"
2021-10,10E201230,Travel and Transportation Expenses,6103127,1059415,0,7162542,"Selling, General and Administrative Expenses"
2021-10,10E201270,Miscellaneous Expenses,2880631,474957,0,3355588,"Selling, General and Administrative Expenses"
2021-10,10E300020,Interest Expense,723109,154905,0,878014,Non-operating Expenses
2021-10,10F100070,"Corporate, Inhabitant and Enterprise Taxes",0,0,0,0,Other
